int_date,sex,eminuse,intmob,snsint,home3nw,bbhome1,smart1,low_budget_e_reader_1_high_2_no_3,Desktop_laptop,printed_books_read,audiobooks_heard,Ebooks_read,phy_public_library,virtual_public_library,library_loan_ebooks,borrow_print_books,help_from_librarian,sit_and_Study,class_to_use_computer,Attend_group_meeting,internet_use_library,library_impact_your_family,library_impact_community,age,marital,parent,Kidage_17,educ2,emplnw,inc,usr,state,Freq_Twitter,Freq_Instagram,Freq_Pinterest,Freq_Facebook,amount_books_read,freq_library_visit,freq_virtual_library_visit,freq_mobile_library_visit
31815,2,1,1,1,1,2,1,1,1,1,0,0,1,1,1,1,0,1,0,0,0,0.5,0,42,1,1,3,6,4,7,R,17,0,0,0.3333333333,0.3333333333,0.0103092784,0.5,0.8,0.5
33015,2,0,1,2,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,1,0.5,0,79,1,2,0,1,4,98,S,37,0,0,0,0,0.0412371134,0,0,0
40115,2,1,1,1,1,2,1,0,1,1,0,0,2,3,0,0,0,0,0,0,0,1,0,54,6,2,0,3,1,3,R,9,0,0,0,0,0.1030927835,0,0,0
40215,2,1,1,1,1,2,1,0.5,1,1,0,0,1,3,0,1,0,1,0,0,1,0,0,59,5,2,0,6,1,5,S,12,0,0,0,0.3333333333,0.0618556701,0.5,0,0
32415,2,0,0,2,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,81,5,2,0,1,3,2,S,36,0,0,0,0,0,0,0,0
40415,2,1,1,1,1,2,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0.5,0,51,1,1,1,5,2,7,S,6,0,0,0.6666666667,0.3333333333,0.0412371134,0.25,1,0.625
32315,2,1,1,2,1,2,1,1,1,0,0,0,2,3,0,0,0,0,0,0,0,1,0,51,6,1,1,4,1,5,S,12,0,0,0,0,0,0,0,0
31715,1,1,0,2,1,2,1,0,1,1,0,0,1,3,0,1,1,1,0,1,1,0,0,58,1,2,0,5,3,99,S,34,0,0,0,0,0.5154639175,0.25,0,0
40115,2,1,0,1,1,8,1,0,0,0,0,0,3,3,0,0,0,0,0,0,0,1,0.5,38,1,1,2,3,1,1,R,20,0,0,0,0.5,0,0,0,0
31715,2,1,1,1,1,2,1,0.5,1,1,1,0,1,3,1,1,1,0,0,0,0,0,0,54,1,1,3,8,1,8,U,48,0,0,0.6666666667,0.1666666667,0.0103092784,0.375,0,0
31815,1,1,1,1,1,2,1,1,1,1,0,1,2,2,0,0,0,0,0,0,0,1,1,23,6,2,0,6,1,1,S,39,0.1111111111,0,0,0.3333333333,0.0515463918,0,0,0
