int_date,sex,eminuse,intmob,snsint,home3nw,bbhome1,smart1,low_budget_e_reader_1_high_2_no_3,Desktop_laptop,printed_books_read,audiobooks_heard,Ebooks_read,phy_public_library,virtual_public_library,library_loan_ebooks,borrow_print_books,help_from_librarian,sit_and_Study,class_to_use_computer,Attend_group_meeting,internet_use_library,library_impact_your_family,library_impact_community,age,marital,parent,Kidage_17,educ2,emplnw,inc,usr,state,Freq_Twitter,Freq_Instagram,Freq_Pinterest,Freq_Facebook,amount_books_read,freq_library_visit,freq_virtual_library_visit,freq_mobile_library_visit
32315,2,1,0,1,1,2,1,0.5,1,1,1,1,1,3,1,1,0,0,0,0,0,0.5,0,63,3,2,0,6,3,2,S,13,0,0,0.5555555556,0.3333333333,0.0618556701,0.5,0,0
32415,1,0,0,2,0,0,0,0,0,1,0,0,2,3,0,0,0,0,0,0,0,0,0,65,6,2,0,8,3,98,S,13,0,0,0,0,0.0206185567,0,0,0
41115,2,0,1,1,0,0,1,0,0,0,0,1,3,3,1,0,0,0,0,0,0,1,0,32,1,1,4,2,1,3,U,20,0,0,0,0.1666666667,0.0206185567,0,0,0
32115,1,1,1,1,1,2,1,1,1,0,0,1,2,3,0,0,0,0,0,0,0,0.5,0,46,6,2,0,4,1,6,S,6,0.3333333333,0.1111111111,0.5555555556,0.1666666667,0.1546391753,0,0,0
41015,1,0,1,1,1,1,1,0,1,1,0,0,3,3,0,0,0,0,0,0,0,1,1,20,2,2,0,3,4,1,S,25,0,0,0,1,0.0309278351,0,0,0
40115,2,1,1,1,1,5,1,0,0,1,0,0,1,3,0,1,1,1,0,0,0,0,0,27,6,2,0,4,1,1,U,48,0,0.3333333333,0,0.1666666667,0.0309278351,0.125,0,0
40315,1,1,1,1,1,2,1,0,1,0,0,0,2,3,0,0,0,0,0,0,0,0.5,0,67,1,2,0,3,3,6,R,42,0,0,0,0.5,0,0,0,0
40415,2,1,1,1,1,2,1,0.5,0,1,0,1,1,3,1,1,0,1,0,0,0,0,0,55,1,2,0,5,4,4,U,48,0,0.3333333333,0,0.3333333333,0.5154639175,0.375,0,0
31915,2,1,1,1,1,2,1,0.5,1,1,0,1,1,1,0,0,1,0,0,0,1,0,0,39,6,1,4,4,4,2,U,39,0.1111111111,0.1111111111,0,0.1666666667,0.5154639175,0.5,0.6,0.5
32415,1,1,1,2,1,2,1,1,1,0,0,0,2,3,0,0,0,0,0,0,0,1,0,40,1,1,0,3,1,8,S,48,0,0,0,0,0,0,0,0
32915,2,1,0,2,1,2,1,0.5,1,1,0,0,2,1,1,0,0,0,0,0,1,0,0,64,3,2,0,5,1,5,S,24,0,0,0.5555555556,0.8333333333,0.0618556701,0,0.4,0.5
40315,2,0,0,1,0,0,0,0,0,1,0,0,3,3,0,0,0,0,0,0,0,0,0,61,5,2,0,3,3,3,U,47,0,0,0,0,0.0412371134,0,0,0
33015,2,1,1,1,1,2,1,0.5,0,0,0,0,2,3,0,0,0,0,0,0,0,0.5,0.5,28,1,1,3,3,2,98,R,12,0,0.2222222222,0.3333333333,0.3333333333,0,0,0,0
32415,1,1,1,1,1,2,1,1,1,0,0,0,2,3,0,0,0,0,0,0,0,0.5,0,36,6,2,0,8,1,9,U,48,0,0,0.6666666667,0.5,0,0,0,0
40515,1,1,1,2,1,2,1,0.5,1,1,0,0,2,3,0,0,0,0,0,0,0,0.5,0,54,1,1,2,3,1,7,S,18,0,0,0,0,0.0309278351,0,0,0
41215,2,1,1,1,1,2,1,1,1,1,0,0,2,3,1,0,0,0,0,0,0,0.5,0.5,24,6,2,0,8,1,8,S,42,0,0.2222222222,0.1111111111,0.1666666667,0.1030927835,0,0,0
32115,2,1,1,1,1,2,0,1,0,1,0,1,1,3,0,1,0,0,0,0,0,0.5,0,66,1,2,0,5,3,4,U,12,0,0,0.3333333333,0.8333333333,0.1855670103,0.5,0,0
32215,2,1,1,2,1,2,1,0.5,1,1,0,1,1,1,1,0,1,1,0,0,1,0.5,0,55,1,2,0,8,2,7,S,8,0,0,0,0,0.1030927835,0.5,0.8,0.5
40415,2,0,0,2,0,0,0,0,0,1,0,1,2,3,0,0,0,0,0,0,0,0,0,81,5,2,0,3,3,2,R,42,0,0,0,0,0.0103092784,0,0,0
33115,1,1,1,1,1,2,1,0.5,1,1,0,1,1,1,1,0,1,0,0,1,1,0,0,55,1,2,0,4,1,5,S,48,0,0,0,0,0.412371134,0.375,0.2,0.25
40315,1,1,1,2,1,2,1,0.5,1,1,0,0,1,3,0,0,0,0,0,0,1,0.5,0,70,1,2,0,6,5,7,S,13,0,0,0,0,0.0103092784,0.5,0,0
41015,1,1,0,2,1,2,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0.5,0.5,54,3,2,0,4,3,2,R,42,0,0,0,0,0,0,0,0
41215,1,1,1,1,1,2,1,1,1,1,0,0,2,2,1,0,0,0,0,0,0,1,0.5,39,3,1,3,6,1,5,S,12,0,0,0,0.1666666667,0.0618556701,0,0,0
32915,2,0,0,2,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,1,0,75,5,2,0,3,3,3,R,15,0,0,0,0,0,0,0,0
41215,2,1,1,2,1,2,1,1,1,0,1,0,1,3,0,0,0,0,0,0,0,1,1,49,4,2,0,4,1,4,S,22,0,0,0,0,0.0309278351,0.5,0,0
31815,2,1,1,1,1,2,1,0.5,1,0,1,1,1,2,0,0,0,0,0,0,1,0,0,54,1,2,0,4,3,7,U,16,0,0,0.3333333333,0.1666666667,0.1237113402,0.5,0,0
32115,2,1,1,1,1,2,1,0.5,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,34,1,1,3,8,4,99,S,48,0,0.1111111111,0.2222222222,0.1666666667,0.0721649485,0.5,0.6,0.5
40115,1,0,0,2,0,0,0,0,0,1,0,0,3,3,0,0,0,0,0,0,0,1,0.5,56,1,1,1,4,3,9,U,12,0,0,0,0,0.412371134,0,0,0
31915,1,1,1,2,1,4,1,1,1,1,0,0,2,3,1,0,0,0,0,0,0,0,0,24,2,2,0,4,1,3,U,2,0,0,0.1111111111,0,0.0309278351,0,0,0
32115,1,1,0,2,1,2,0,0,1,0,0,0,2,3,1,0,0,0,0,0,0,0.5,0,69,1,2,0,6,3,5,U,46,0,0,0,0,0,0,0,0
40415,2,1,1,2,0,0,1,0.5,1,1,0,0,1,1,1,1,1,1,1,0,1,0,0,58,5,2,0,6,3,4,U,24,0,0,0,0,0.412371134,0.375,0.8,0.5
32015,1,1,1,1,1,1,1,0.5,1,1,1,1,1,1,1,1,0,1,0,0,1,0.5,0.5,20,6,2,0,3,7,3,U,24,0.1111111111,0.2222222222,0,0.1666666667,0.1546391753,0.375,0.6,0.375
32115,1,1,1,1,1,2,1,0,1,1,0,0,2,3,0,0,0,0,0,0,0,1,0.5,22,6,2,0,3,2,9,U,47,0.5555555556,0,0,0.1666666667,0.0412371134,0,0,0
32015,1,1,1,1,0,0,1,1,0,0,0,0,1,3,0,0,1,0,0,0,0,1,0.5,73,3,2,0,4,3,4,R,37,0,0,0,0.5,0,0.5,0,0
31915,2,1,0,1,1,2,1,0,1,1,0,0,1,3,0,1,0,0,0,0,0,0,0,55,1,2,0,4,5,7,S,19,0,0,0,0.1666666667,0.2577319588,0.375,0,0
40315,2,1,1,2,1,2,0,0.5,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,68,1,2,0,6,3,8,U,6,0,0,0,0,1,0.125,0.4,0.625
40715,2,0,1,1,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,1,1,50,6,2,0,3,1,98,U,26,0,0,0,0.5,0,0,0,0
40315,2,1,0,1,1,2,0,0,1,1,1,1,2,2,0,0,0,0,0,0,0,1,0,42,1,2,0,4,4,6,S,39,0,0,0,0,1,0,0,0
40615,1,1,1,2,0,0,0,0,0,1,0,0,1,3,1,1,1,1,1,0,0,0.5,0,51,3,2,0,3,1,3,U,42,0,0,0,0,0.0206185567,0.25,0,0
31715,1,1,1,1,1,2,1,1,0,0,0,0,2,3,1,0,0,0,0,0,1,0,0,45,6,2,0,3,2,2,S,12,0,0.6666666667,0,0.1666666667,0,0,0,0
32015,1,1,1,1,1,2,1,0,1,1,0,0,2,3,0,0,0,0,0,0,0,0,0,21,6,2,0,5,1,6,S,12,0,0.3333333333,0,0,0.0309278351,0,0,0
31915,1,1,1,1,1,9,1,0,1,0,0,0,3,3,0,0,0,0,0,0,0,0.5,0,30,1,1,1,6,1,6,S,26,0,0,0,1,0,0,0,0
32915,1,1,0,2,1,2,0,0,1,1,0,0,2,2,1,0,0,0,0,0,0,0.5,0.5,55,1,1,3,1,1,5,U,35,0,0,0,0,0.0618556701,0,0,0
40215,2,0,0,2,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,1,1,1,53,5,2,0,4,2,1,R,27,0,0,0,0,0,0.5,0,0
33015,2,1,0,2,1,5,0,0,1,1,0,0,1,1,1,1,1,0,0,0,1,0.5,0,67,1,2,0,5,1,2,S,39,0,0,0,0,0.1030927835,0.125,0.8,0.5
32315,1,1,1,2,1,1,1,1,1,1,1,0,3,3,0,0,0,0,0,0,0,0,0,74,5,2,0,3,3,5,S,17,0,0,0,1,0.0103092784,0,0,0
40115,1,1,1,1,1,1,1,0.5,1,1,0,0,1,1,0,1,1,1,0,1,0,0,0,35,4,2,0,3,2,3,S,10,0,0,0.3333333333,0.3333333333,0.0618556701,0.125,0.4,0.125
41115,1,1,1,1,1,2,1,0.5,1,1,0,1,1,1,1,1,1,1,0,0,1,0.5,0,28,6,2,0,6,1,9,U,36,0,0.1111111111,0,0.1666666667,0.412371134,0.5,0.8,0.5
40115,2,1,1,1,1,2,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0.5,0,23,6,1,1,2,4,2,R,13,0.6666666667,0.1111111111,0.1111111111,0.1666666667,0,0.5,0.6,0.5
31715,2,1,1,1,1,2,1,1,1,1,0,1,1,3,1,1,0,0,0,0,0,0.5,0,42,1,1,2,6,1,7,R,37,0.5555555556,0.6666666667,0.3333333333,0.3333333333,0.1030927835,0.375,0,0
41215,1,1,1,2,1,2,1,0.5,1,1,0,1,2,3,0,0,0,0,0,0,0,1,0,68,1,2,0,6,1,6,U,8,0,0,0,0,0.0309278351,0,0,0
41215,2,1,1,1,1,2,1,0,1,1,0,0,1,3,0,1,0,0,0,0,0,0.5,0,48,1,1,2,6,4,9,S,53,0,0,0.6666666667,0.3333333333,0.1030927835,0.25,0,0
32415,1,1,1,2,1,2,1,1,1,1,0,0,2,3,0,0,0,0,0,0,0,1,0,61,1,2,0,8,4,99,U,6,0,0,0,0,0.0515463918,0,0,0
32415,1,0,0,2,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,1,0.5,56,2,2,0,3,3,4,U,6,0,0,0,0,0,0,0,0
32215,2,1,1,1,1,2,1,0,1,0,0,0,1,3,0,0,1,0,0,0,0,0.5,0.5,62,5,2,0,8,1,99,R,13,0.3333333333,0.3333333333,0,0.8333333333,0,0.5,0,0
32315,1,1,1,1,1,2,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,40,1,1,2,6,1,7,S,1,0.3333333333,0,0,0.3333333333,0.206185567,0.375,0.8,0.5
32415,1,0,0,2,0,0,0,0,0,1,0,0,1,3,1,1,0,1,0,0,0,0,0,73,1,2,0,3,3,4,U,48,0,0,0,0,0.0618556701,0.5,0,0
40415,1,1,1,1,1,2,1,0.5,0,1,0,1,1,3,0,0,0,0,0,0,0,1,0,34,1,1,2,4,1,6,U,13,0,0,1,0.1666666667,0.0618556701,0.5,0,0
40215,1,1,1,2,1,2,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0.5,53,6,2,0,3,1,5,S,17,0,0,0,0,0.0412371134,0.375,0.6,0.5
40415,1,0,0,2,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,1,0,50,3,2,0,3,1,3,S,9,0,0,0,0,0,0,0,0
40215,2,1,0,2,1,2,0,0,1,1,1,0,2,3,0,0,0,0,0,0,0,0,0,62,6,2,0,8,2,99,U,13,0,0,0,0,0.206185567,0,0,0
31715,1,1,1,1,1,4,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,1,0,29,1,2,0,3,1,3,S,16,0,0,0,0.1666666667,0.0103092784,0,0,0
