@relation migracion

@attribute region_residencia {1,2,3,4,5,6}
@attribute zona {1,2,9}
@attribute edad numeric
@attribute region_nacimiento {1,2,3,4,5,6,9}
@attribute residencia_hace_dos_anos{1,2,3,4,5,6,7,9}
@attribute titulo {0,1,2,3,4,5,6,9}
@attribute condicion_actual {1,2,3}

@data
1,1,24,1,1,3,3
1,2,32,1,1,3,1
1,2,26,2,1,0,2
1,1,44,1,1,4,1
2,2,18,1,2,0,3
3,2,30,1,3,4,1
1,1,25,1,1,3,1
6,1,20,1,6,0,3
2,1,29,2,2,0,3
1,2,60,3,1,3,1
1,1,29,4,1,4,1
1,1,24,1,1,0,1
2,1,26,2,2,0,1
2,1,60,2,2,3,3
1,1,30,1,1,4,1
1,1,22,6,1,0,3
4,2,35,4,4,3,1
4,2,23,1,4,3,1
1,1,66,1,1,3,3
1,1,47,1,1,6,1
6,2,16,2,6,0,3
1,1,68,1,1,4,3
1,2,23,1,1,3,1
2,2,50,2,2,0,2
1,2,28,6,1,3,1
1,2,47,6,1,3,1
1,1,43,1,1,9,1
3,2,52,1,3,0,1
3,2,59,2,3,4,1
1,1,34,1,1,0,2
2,1,19,2,2,0,3
2,2,39,2,2,4,1
3,2,32,1,1,4,1
4,1,32,4,4,4,1
1,1,28,1,1,0,1
1,2,50,1,1,0,1
1,1,37,1,1,0,1
1,2,27,1,1,3,1
1,1,36,1,1,4,1
1,1,51,1,1,0,3
4,1,47,1,2,6,1
1,1,41,1,1,3,1
6,2,53,1,6,2,1
1,2,19,1,1,0,1
4,2,37,3,3,0,1
1,1,42,1,1,2,1
4,1,52,1,4,4,1
6,1,56,2,6,2,1
2,2,52,1,2,4,3
1,2,38,1,1,3,1
2,1,62,1,2,4,3
3,1,16,1,3,0,3
1,1,44,6,1,3,1
1,2,48,1,1,0,1
1,1,18,1,1,0,3
6,1,49,1,6,4,1
1,1,39,1,1,4,1
1,1,58,1,1,4,1
1,1,30,1,1,3,1
1,1,39,1,1,4,1
3,1,50,4,3,3,1
1,1,41,1,1,4,1
6,1,23,6,6,3,1
3,1,55,4,3,6,1
4,2,41,4,4,1,1
1,2,40,1,1,2,1
4,2,36,4,4,3,1
1,2,43,1,1,0,1
1,2,57,1,1,4,3
1,1,60,2,1,4,3
1,1,39,1,1,4,1
1,1,60,1,1,0,1
1,2,80,1,1,1,3
6,1,42,1,6,2,1
1,1,68,1,1,3,3
1,1,59,1,1,3,1
1,2,85,1,1,0,3
6,1,49,1,6,3,1
1,1,60,1,1,4,1
6,1,15,4,4,0,3
1,1,26,3,1,4,1
6,1,22,6,6,0,1
1,1,28,1,1,4,1
1,1,76,1,1,3,3
6,1,19,1,1,0,3
1,1,50,1,1,3,1
1,1,44,1,1,3,1
1,1,44,1,1,3,1
1,1,33,1,1,0,1
1,1,58,2,1,4,3
4,1,49,4,4,4,1
1,2,28,2,1,2,1
1,1,52,1,1,0,1
1,2,70,4,1,4,3
1,2,53,1,1,4,1
1,1,20,1,1,3,1
1,1,41,1,1,3,1
1,1,44,2,1,4,1
1,1,30,1,1,3,1
5,2,58,4,5,1,3
1,1,48,1,1,1,1
1,1,62,2,1,6,3
1,1,26,1,1,0,1
6,2,31,4,6,0,3
2,1,20,1,2,0,3
3,1,23,5,3,0,1
1,1,18,1,1,1,3
3,1,51,2,3,0,1
1,2,40,1,1,3,1
1,1,54,1,1,0,3
1,1,24,4,1,4,3
1,2,39,1,1,4,1
1,1,24,1,1,3,1
4,1,18,1,4,0,2
5,2,60,1,5,3,1
1,1,18,1,1,0,3
