,region_residencia,zona,edad,region_nacimiento,residencia_hace_dos_anos,titulo,condicion_actual,ingreso_total_hogar_neto,nivel_pobreza
3905,1,1,28,2,1,0,1,1435367.26666667,3
1550,1,1,63,1,1,6,1,3863907.66666667,3
3034,1,1,36,1,1,4,1,1630204.33333333,3
7302,2,2,34,6,2,3,3,7150000,3
9459,5,1,59,5,5,1,1,354500,3
2948,1,1,65,1,1,4,3,1930833.33333333,3
4550,1,1,22,1,1,0,1,2732087.8,3
2144,1,1,52,4,1,4,1,2855929.63032,3
2147,1,1,50,1,1,4,1,3440593,3
6182,1,2,66,1,1,0,3,882916.666666667,3
6082,1,2,20,1,1,0,1,932750,3
9671,5,2,53,1,5,1,1,240000,2
7686,3,1,50,2,3,4,1,1576037.66666667,3
6198,1,2,35,5,1,3,3,1391250,3
10412,6,2,29,1,6,0,1,195000,3
2793,1,1,35,5,1,0,1,1119228.93333333,3
2645,1,1,25,1,1,3,3,590000,3
1395,1,1,52,1,1,4,1,7172815,3
2725,1,1,54,4,1,6,1,2274519,3
1844,1,1,41,5,1,4,1,2484691.30666667,3
3663,1,1,33,3,1,3,1,2533774.53333333,3
3881,1,1,64,1,1,4,3,2086062.33333333,3
1331,1,1,46,1,1,4,1,2579568.33333333,3
763,1,1,32,1,1,4,1,1097148,3
2514,1,1,55,1,1,4,1,4652964,3
6837,2,1,18,1,2,0,3,437666.666666667,3
6642,2,1,28,2,2,4,1,1150340.66666667,3
5509,1,1,19,1,1,0,3,1143098.66666667,3
4264,1,1,38,6,1,0,1,428062.266666667,3
2259,1,1,69,1,1,0,3,5611666.66666667,3
2989,1,1,57,1,7,6,3,2487910.63906667,3
2846,1,1,61,2,1,6,1,6599727.51478095,3
5026,1,1,40,1,1,4,1,3033667,3
513,1,1,46,4,1,4,1,1358890,3
2075,1,1,30,1,1,3,1,3475628,3
1112,1,1,80,1,1,3,3,1042894.66666667,3
4575,1,1,31,4,1,4,1,2241919.33333333,3
5887,1,1,53,1,1,0,1,6318221,3
6670,2,1,32,2,2,4,1,1024768.33333333,3
4879,1,1,17,1,1,0,3,609266.666666667,3
8148,4,1,57,1,4,4,1,11830000,3
4456,1,1,29,1,1,6,1,3109929.33333333,3
2931,1,1,63,1,1,4,3,3336666.66666667,3
2268,1,1,69,1,1,4,1,1797166.66666667,3
1728,1,1,26,1,1,1,1,1084525.29268461,3
1184,1,1,26,1,1,3,1,1100000,3
3866,1,1,35,1,1,6,3,1508143,3
2484,1,1,47,1,1,4,1,1852500,3
5892,1,1,62,1,1,4,1,4991132.9,3
459,1,1,38,9,1,3,1,3106479.29090909,3
6590,1,2,38,1,1,4,1,1032148,3
3389,1,1,20,6,6,1,3,3606711,3
666,1,1,57,1,1,4,1,423844.2,3
1404,1,1,32,4,1,4,1,902148,3
8110,3,2,41,1,3,6,1,2269494.33333333,3
2296,1,1,46,1,1,4,1,2121093,3
7910,3,2,63,9,3,0,3,50000,2
2012,1,1,55,1,1,2,1,2304271.03333333,3
8156,4,1,52,1,4,4,1,2686259.85862,3
2413,1,1,30,9,1,3,1,3131898.46,3
180,1,1,54,1,1,6,1,8010717.16049383,3
1555,1,1,50,2,1,4,3,1179802.16049383,3
7077,2,2,51,2,2,0,1,653988.833333333,3
4919,1,1,36,1,1,4,3,7650794.39979706,3
4218,1,1,40,1,1,4,1,1755190.23333333,3
2786,1,1,74,3,1,6,3,2275000,3
5925,1,1,61,1,1,4,3,2915436.33333333,3
985,1,1,36,1,1,4,1,1289463.30344,3
5779,1,1,25,1,1,4,1,14372710.7333333,3
7578,3,1,51,1,3,4,1,2251356.46666667,3
6090,1,2,57,1,1,3,1,1048094.853,3
5770,1,1,40,1,1,3,1,4078654.42894558,3
7897,3,2,39,1,3,0,1,361600,2
8232,4,1,31,1,4,0,1,847297.706666667,3
2752,1,1,50,2,1,4,1,2267465.33333333,3
8505,4,1,29,2,4,0,3,547663.21896,3
3004,1,1,49,1,1,4,1,2870833.33333333,3
173,1,1,53,1,1,2,1,2760762.37627666,3
5681,1,1,36,1,1,4,1,2733878.33333333,3
2860,1,1,23,1,1,0,1,3236815.81594436,3
6588,1,2,75,1,1,4,3,1191666.66666667,3
4126,1,1,32,1,1,2,1,244833.333333333,2
6766,2,1,48,1,2,0,1,886600,3
819,1,1,33,1,1,0,1,1464374.12415209,3
8940,4,2,25,4,4,4,3,1270936.33333333,3
549,1,1,48,3,1,2,2,2340546,3
5018,1,1,46,1,1,6,1,2688320.7,3
986,1,1,22,6,6,1,1,1289463.30344,3
8527,4,2,25,1,4,3,3,903791.2,3
7472,3,1,28,3,3,3,1,1912629.33333333,3
4012,1,1,48,1,1,4,1,1502340.66666667,3
5614,1,1,32,1,1,4,1,2996243.81333333,3
3249,1,1,40,1,1,3,1,1690000,3
3604,1,1,22,3,1,0,3,1486732,3
6661,2,1,61,2,2,4,1,2294053,3
10042,5,2,17,1,5,0,3,827335.733333333,3
7183,2,2,30,5,2,0,1,1076339.33333333,3
5076,1,1,70,1,1,6,3,3425890,3
8228,4,1,53,5,4,6,1,2503340.66666667,3
3324,1,1,27,1,1,3,1,1460333.33333333,3
815,1,1,49,1,1,4,1,1560201.06666667,3
5780,1,1,52,1,1,0,3,770000,3
4376,1,1,39,1,1,4,1,1376223.33333333,3
1791,1,1,27,1,1,4,1,1168197.33333333,3
5949,1,2,16,1,1,0,3,826789.4,3
2396,1,1,25,1,1,0,1,486002.4,3
1196,1,1,37,1,1,4,1,5299185.66666667,3
4097,1,1,58,1,1,4,1,2119164.66666667,3
