,injectDate,street,city,delay,endNode,neighborhood_destination,neighborhood_initial
9966,04/25/2017 08:00:00 PM,Hanover St,"Boston, MA",60,Congress St,,
29545,04/22/2017 06:40:00 PM,Bay State Rd,"Boston, MA",196,Raleigh St,Fenway/Kenmore,
14366,04/19/2017 04:30:00 PM,Charles St,"Boston, MA",93,Beacon St,,Dorchester
21641,04/21/2017 02:40:00 AM,Park St,"Boston, MA",62,Washington St,,
18856,04/20/2017 03:50:00 PM,Bowdoin St,"Boston, MA",86,Cambridge St,,
9353,04/25/2017 05:30:00 PM,Green St,"Boston, MA",135,Centre St,,Charlestown
4793,04/24/2017 08:20:00 PM,Frontage Rd,"Boston, MA",177,Mass Ave Connector,,
33694,04/23/2017 07:30:00 PM,Hancock St,"Boston, MA",192,Dorchester Ave,,Charlestown
19502,04/20/2017 06:30:00 PM,Park St,"Boston, MA",92,Tremont St,,
16815,04/20/2017 03:00:00 AM,Atlantic Ave,"Boston, MA",65,Commercial St,,
30634,04/23/2017 12:00:00 AM,Amory St,"Boston, MA",72,Green St,Charlestown,
27130,04/22/2017 04:00:00 AM,Boylston St,"Boston, MA",222,Massachusetts Ave,,
236,04/24/2017 12:30:00 AM,Washington St,"Boston, MA",75,Poplar St,,
18444,04/20/2017 01:30:00 PM,Seaver St,"Boston, MA",200,Humboldt Ave,Roxbury,Roxbury
17794,04/20/2017 12:20:00 PM,E 1st St,"Boston, MA",85,L St,South Boston,South Boston
28404,04/22/2017 02:50:00 PM,W Broadway,"Boston, MA",82,Dorchester Ave,,
25296,04/21/2017 09:00:00 PM,I-93 N,"Boston, MA",278,I-93 N,,
9264,04/25/2017 05:10:00 PM,Longwood Ave,"Boston, MA",220,Riverway,,
10834,04/25/2017 10:50:00 PM,Shawmut Ave,"Boston, MA",209,Herald St,South End,
16076,04/19/2017 10:30:00 PM,William T Morrissey Blvd,"Boston, MA",212,Freeport St,Dorchester,
24944,04/21/2017 07:20:00 PM,Columbia Rd,"Boston, MA",87,Blue Hill Ave,,
19004,04/20/2017 04:50:00 PM,Melnea Cass Blvd,"Boston, MA",159,Massachusetts Ave,,
16289,04/19/2017 11:50:00 PM,Cummins Hwy,"Boston, MA",376,Washington St,,
1311,04/24/2017 05:30:00 AM,Washington St,"Boston, MA",101,South St,Downtown,
11685,04/19/2017 01:20:00 AM,Bowdoin St,"Boston, MA",140,Harvard St,,
20528,04/20/2017 10:00:00 PM,William T Morrissey Blvd,"Boston, MA",156,Freeport St,Dorchester,
19394,04/20/2017 06:10:00 PM,N Beacon St,"Boston, MA",62,Cambridge St,,
17081,04/20/2017 04:20:00 AM,Francis St,"Boston, MA",63,Huntington Ave,,
22269,04/21/2017 05:50:00 AM,William T Morrissey Blvd,"Boston, MA",60,Freeport St,Dorchester,
