,injectDate,street,city,delay,endNode,neighborhood_destination,neighborhood_initial
23954,04/21/2017 03:20:00 PM,Melnea Cass Blvd,"Boston, MA",109,Washington St,,
19512,04/20/2017 06:30:00 PM,Massachusetts Ave,"Boston, MA",90,Columbus Ave,,
22104,04/21/2017 04:40:00 AM,Adams St,"Boston, MA",182,Parkman St,Dorchester,Stony Brook / Cleary Square
21140,04/21/2017 12:30:00 AM,Corey Rd,"Boston, MA",111,Brainerd Rd,,
24082,04/21/2017 04:00:00 PM,S Huntington Ave,"Boston, MA",66,Centre St,,
550,04/24/2017 01:30:00 AM,Warren St,"Boston, MA",68,Quincy St,,Roxbury
16777,04/20/2017 02:40:00 AM,Dudley St,"Boston, MA",75,E Cottage St,,
2685,04/24/2017 02:00:00 PM,Boylston St,"Boston, MA",737,Boylston St  / Outbound / Riverway,,
6759,04/25/2017 02:30:00 AM,Albany St,"Boston, MA",88,Melnea Cass Blvd,,
30767,04/23/2017 12:20:00 AM,Boylston St,"Boston, MA",260,Massachusetts Ave,,
3208,04/24/2017 03:20:00 PM,A St,"Boston, MA",113,Congress St,,D Street / West Broadway
2420,04/24/2017 01:10:00 PM,Seaver St,"Boston, MA",215,Humboldt Ave,Roxbury,Roxbury
5847,04/24/2017 11:50:00 PM,W Broadway,"Boston, MA",196,Dorchester St,South Boston,
21640,04/21/2017 02:40:00 AM,Washington St,"Boston, MA",64,Massachusetts Ave,,
32960,04/23/2017 03:40:00 PM,Blue Hill Ave,"Boston, MA",106,Brookford St,Roxbury,
29192,04/22/2017 05:30:00 PM,Clarendon St,"Boston, MA",94,Tremont St,,
7175,04/25/2017 05:00:00 AM,Westland Ave,"Boston, MA",74,Fenway,Fenway/Kenmore,Fenway/Kenmore
23933,04/21/2017 03:10:00 PM,Park Plz,"Boston, MA",91,Arlington St,Hyde Park,Downtown
25932,04/22/2017 12:10:00 AM,Lansdowne St,"Boston, MA",119,Ipswich St,Fenway/Kenmore,Fenway/Kenmore
22303,04/21/2017 06:10:00 AM,South Boston Bypass Rd,"Boston, MA",999,Haul Rd,South Boston,
15367,04/19/2017 08:00:00 PM,Cambridge St,"Boston, MA",97,Warren St,Roxbury,
10622,04/25/2017 10:30:00 PM,Hanover St,"Boston, MA",60,Congress St,,
5538,04/24/2017 10:50:00 PM,Washington St,"Boston, MA",87,Foster St,Brighton,
6305,04/25/2017 01:00:00 AM,Blue Hill Ave,"Boston, MA",400,Seaver St,Roxbury,
6566,04/25/2017 01:50:00 AM,Washington St,"Boston, MA",119,Blue Hill Ave,,
22683,04/21/2017 11:50:00 AM,William T Morrissey Blvd,"Boston, MA",97,Freeport St,Dorchester,
7768,04/25/2017 12:20:00 PM,Washington St,"Boston, MA",129,Foster St,Brighton,
19929,04/20/2017 08:20:00 PM,S Huntington Ave,"Boston, MA",102,Perkins St,Medford Street / The Neck,
20207,04/20/2017 09:10:00 PM,Milton Ave,"Boston, MA",175,Edson St,Hyde Park,
27270,04/22/2017 04:20:00 AM,Ashmont St,"Boston, MA",105,Burgoyne St,Dorchester,Dorchester
18459,04/20/2017 01:30:00 PM,Boylston St,"Boston, MA",64,Berkeley St,,
15393,04/19/2017 08:10:00 PM,Cummins Hwy,"Boston, MA",93,Brown Ave,Roslindale,
566,04/24/2017 01:30:00 AM,Washington St,"Boston, MA",133,Harvard St,,
16199,04/19/2017 11:20:00 PM,Humboldt Ave,"Boston, MA",214,Townsend St,Roxbury,Roxbury
25257,04/21/2017 08:40:00 PM,Storrow Dr E,"Boston, MA",323,Storrow Dr W,,
33329,04/23/2017 05:30:00 PM,Brighton Ave,"Boston, MA",84,Allston St,Brighton,
29509,04/22/2017 06:30:00 PM,Massachusetts Ave,"Boston, MA",810,Columbus Ave,,
24821,04/21/2017 07:00:00 PM,Gloucester St,"Boston, MA",144,Boylston St,,Back Bay
22718,04/21/2017 12:00:00 PM,L St,"Boston, MA",73,E 1st St,South Boston,South Boston
16687,04/20/2017 02:30:00 AM,Arborway,"Boston, MA",-1,to South St,Downtown,
28176,04/22/2017 12:50:00 PM,Massachusetts Ave,"Boston, MA",98,Harrison Ave,,
28399,04/22/2017 02:50:00 PM,Summer St,"Boston, MA",79,Dorchester Ave,,
12696,04/19/2017 10:30:00 AM,N Harvard St,"Boston, MA",106,JF Kennedy St,Jamaica Plain,
1171,04/24/2017 05:10:00 AM,Talbot Ave,"Boston, MA",77,Washington St,,
8281,04/25/2017 01:50:00 PM,E 1st St,"Boston, MA",62,L St,South Boston,South Boston
7187,04/25/2017 05:00:00 AM,Dudley St,"Boston, MA",70,Washington St,,
17842,04/20/2017 12:30:00 PM,Firth Rd,"Boston, MA",61,Washington St,,Roslindale
17224,04/20/2017 05:40:00 AM,Huntington Ave,"Boston, MA",70,Washington St,,
7785,04/25/2017 12:20:00 PM,Adams St,"Boston, MA",213,Lonsdale St,Dorchester,Stony Brook / Cleary Square
29784,04/22/2017 07:50:00 PM,Hancock St,"Boston, MA",135,Dorchester Ave,,Charlestown
24360,04/21/2017 05:10:00 PM,Cummins Hwy,"Boston, MA",340,Washington St,,
11277,04/19/2017 12:00:00 AM,Park St,"Boston, MA",63,Adams St,Stony Brook / Cleary Square,
31564,04/23/2017 02:50:00 AM,Brooks St,"Boston, MA",77,Condor St,Eagle Hill,Oak Square
21828,04/21/2017 03:30:00 AM,Blue Hill Ave,"Boston, MA",61,Floyd St,Mattapan,
16400,04/20/2017 12:40:00 AM,Lamartine St,"Boston, MA",81,Paul Gore St,Jamaica Plain,
21398,04/21/2017 02:10:00 AM,Adams St,"Boston, MA",77,Victory Rd,Dorchester,Stony Brook / Cleary Square
17694,04/20/2017 12:20:00 PM,South St,"Boston, MA",294,Msgr William Casey Hwy,,Downtown
22272,04/21/2017 05:50:00 AM,Huntington Ave,"Boston, MA",124,Longwood Ave,,
13476,04/19/2017 01:00:00 PM,Hyde Park Ave,"Boston, MA",573,Washington St,,
18885,04/20/2017 04:10:00 PM,W Broadway,"Boston, MA",76,Dorchester Ave,,
9868,04/25/2017 07:40:00 PM,Amory St,"Boston, MA",131,Boylston St,,
24188,04/21/2017 04:30:00 PM,Austin St,"Boston, MA",63,Main St,,Hyde Park
17479,04/20/2017 11:30:00 AM,MA-1A S,"Boston, MA",104,to MA-3 N / Storrow Dr,,
1871,04/24/2017 12:10:00 PM,South St,"Boston, MA",275,Msgr William Casey Hwy,,Downtown
22865,04/21/2017 12:10:00 PM,Francis St,"Boston, MA",88,Brookline Ave,,
21976,04/21/2017 04:00:00 AM,Dorchester Ave,"Boston, MA",148,Adams St,Stony Brook / Cleary Square,
10517,04/25/2017 10:00:00 PM,Beacon St,"Boston, MA",153,Massachusetts Ave,,
16808,04/20/2017 02:50:00 AM,Richmond St,"Boston, MA",62,Dorchester Ave,,North End
29673,04/22/2017 07:20:00 PM,Randolph St,"Boston, MA",166,Albany St,,South End
19243,04/20/2017 05:40:00 PM,Harrison Ave,"Boston, MA",118,E Berkeley St,South End,
26284,04/22/2017 01:30:00 AM,Washington St,"Boston, MA",120,Marginal Rd,,
15594,04/19/2017 08:40:00 PM,Albany St,"Boston, MA",182,E Newton St,South End,
28547,04/22/2017 03:30:00 PM,Blue Hill Ave,"Boston, MA",131,American Legion Hwy,,
5747,04/24/2017 11:30:00 PM,Franklin St,"Boston, MA",99,Bromfield St,,
30952,04/23/2017 01:10:00 AM,Hemenway St,"Boston, MA",78,Boylston St,,Fenway/Kenmore
7817,04/25/2017 12:20:00 PM,Melnea Cass Blvd,"Boston, MA",150,Washington St,,
14902,04/19/2017 06:40:00 PM,Faneuil St,"Boston, MA",61,Market St,,Brighton
33104,04/23/2017 04:50:00 PM,Huntington Ave,"Boston, MA",73,Forsyth Way,Fenway/Kenmore,
5551,04/24/2017 10:50:00 PM,Congress St,"Boston, MA",232,Sudbury St,Downtown,
340,04/24/2017 12:50:00 AM,Adams St,"Boston, MA",68,Parkman St,Dorchester,Stony Brook / Cleary Square
7773,04/25/2017 12:20:00 PM,Wood Ave,"Boston, MA",32,Cummins Hwy,,Hyde Park
16632,04/20/2017 02:00:00 AM,S Huntington Ave,"Boston, MA",102,Centre St,,
19175,04/20/2017 05:30:00 PM,Huntington Ave,"Boston, MA",257,Longwood Ave,,
20390,04/20/2017 09:40:00 PM,Norfolk St,"Boston, MA",146,Blue Hill Ave,,
22925,04/21/2017 12:20:00 PM,Washington St,"Boston, MA",70,Massachusetts Ave,,
24938,04/21/2017 07:20:00 PM,Shawmut Ave,"Boston, MA",158,Washington St,,
31989,04/23/2017 04:40:00 AM,Dorchester Ave,"Boston, MA",83,Mercier Ave,Dorchester,
