,region_residencia,zona,edad,region_nacimiento,residencia_hace_dos_anos,titulo,condicion_laboral,ingreso_por_persona,sexo,estado_conyugal,ocupacion_trabajo,mantiene_familia,calidad_vivienda
301,3,2,26 - 30,4,4,0.7,0.0,0.8,1,6,3,0.75,0.0
303,3,2,18 - 25,4,4,0.7,0.0,1.0,1,6,5,0.0,0.0
304,4,1,26 - 30,1,1,0.7,0.0,0.8,1,2,3,0.75,0.0
305,4,1,26 - 30,1,1,0.0,0.0,1.0,2,2,3,1.0,0.0
306,4,1,71 - 80,1,1,0.7,0.7,0.8,1,2,0,0.75,0.3
308,4,2,18 - 25,7,1,0.7,0.0,1.0,1,1,9,0.3,0.0
309,4,2,31 - 40,4,1,0.7,0.0,1.0,2,1,5,0.0,0.0
312,4,2,31 - 40,3,3,0.7,0.0,0.8,1,2,8,0.75,0.0
313,4,2,41 - 50,4,1,0.7,0.0,1.0,2,6,5,1.0,0.0
314,5,1,41 - 50,7,1,0.7,0.0,0.8,1,1,5,0.75,0.0
315,5,1,26 - 30,5,1,0.7,0.0,0.8,1,4,4,0.75,0.0
316,5,1,31 - 40,1,1,0.0,0.0,0.8,1,1,2,0.75,0.0
317,5,1,71 - 80,1,1,0.7,0.7,0.8,2,5,0,0.0,0.0
318,5,1,31 - 40,1,1,0.7,0.0,0.8,1,1,8,0.75,0.0
322,5,1,31 - 40,7,4,0.7,0.0,1.0,1,2,7,0.75,0.0
324,5,2,61 - 70,5,1,0.7,0.7,1.0,2,1,0,0.0,0.3
326,5,2,26 - 30,1,1,0.7,0.0,1.0,2,4,0,1.0,0.3
327,5,2,41 - 50,5,1,0.7,0.0,1.0,2,2,9,0.0,0.0
328,5,2,41 - 50,2,6,0.0,0.0,0.8,2,1,2,0.75,0.0
329,5,2,31 - 40,6,6,0.7,0.0,0.8,1,1,9,0.75,0.0
330,6,1,41 - 50,7,1,0.7,0.0,0.8,1,2,5,0.75,0.0
331,6,1,41 - 50,7,1,0.7,0.0,0.8,2,2,9,0.0,0.0
332,6,1,26 - 30,7,5,0.0,0.0,0.2,1,2,3,0.0,0.0
333,6,1,26 - 30,6,5,0.0,0.0,0.8,2,2,0,0.0,0.3
334,6,1,26 - 30,1,5,0.0,0.0,0.0,1,2,1,0.0,0.0
336,6,2,18 - 25,2,2,0.7,0.0,1.0,1,6,9,0.0,0.0
337,6,2,51 - 60,3,1,0.0,0.0,0.2,1,2,2,0.0,0.0
340,6,2,18 - 25,7,5,0.7,0.0,1.0,1,1,4,0.75,0.0
342,6,2,41 - 50,6,1,0.7,0.0,0.8,1,1,5,0.75,0.0
344,6,2,18 - 25,1,1,0.7,0.0,1.0,1,6,5,0.0,0.0
