id,int_date,live1,eminuse,intmob,home3nw,bbhome1f1,smart1,low_budget_e_reader_1_high_2_no_3,Desktop_laptop,printed_books_read,audiobooks_heard,Ebooks_read,phy_public_library,virtual_public_library,library_loan_ebooks,borrow_print_books,help_from_librarian,sit_and_Study,class_to_use_computer,Attend_group_meeting,internet_use_library,library_impact_your_family,library_impact_community,sex,age,age_group,marital,par,Kidage_17,educ2,emplnw,inc,usr,state,estado,Freq_Twitter,Freq_Instagram,Freq_Pinterest,Freq_Facebook,amount_books_read,freq_library_visit,freq_virtual_library_visit,freq_mobile_library_visit,Clus 1,Clus 2,Clus 3,Clus 4,Clus 5,Clus 6
32,40216,1,1,0,1,2,0,0,0,0,0,0,1,3,0,0,0,1,0,1,0,0,0,1,76,Ciudadano_de_oro,1,2,0,4,3,7,S,17,Kentucky,0,0,0,0,0.5050505051,0.5,0,0,0.7,0.03,0.01,0.01,0.02,0.23
33,40116,1,1,1,1,2,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,0,0,2,39,Adulto,1,1,0,6,1,5,U,39,Rhode Island,0.3333333333,0.3333333333,0,0.2222222222,0.101010101,0.375,0.25,0.75,0,0.03,0.85,0.09,0.03,0
34,32216,4,1,0,1,2,0,0,1,0,0,0,2,3,1,0,0,0,0,0,0,0.5,0,2,71,Ciudadano_de_oro,6,2,0,7,3,5,S,48,West Virginia,0,0,0,0,0,0,0,0,0.03,0.02,0.01,0.01,0.02,0.91
35,40216,3,1,1,0,0,0,0,0,0,1,0,2,3,0,0,0,0,0,0,0,1,1,1,68,Ciudadano_de_oro,5,2,0,2,4,4,R,48,West Virginia,0,0,0,0,0.0606060606,0,0,0,0.25,0.16,0.04,0.06,0.08,0.41
36,33016,4,1,1,1,2,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0.5,1,48,Mediana_edad,3,2,0,2,1,7,S,48,West Virginia,0,0.3333333333,0,0.1111111111,1,0.25,0.25,0.25,0,0.9,0.05,0.02,0.02,0
37,31016,2,1,1,1,2,1,1,1,1,1,1,1,2,0,1,0,0,1,1,1,0.5,0,2,50,Mediana_edad,2,2,0,8,1,9,S,51,Wyoming,0,0,0,0.6666666667,0.2525252525,0.5,0,0,0,0,0.98,0,0.01,0
38,32616,1,1,1,1,2,1,1,1,1,1,1,2,3,1,0,0,0,0,0,0,1,0,1,72,Ciudadano_de_oro,3,2,0,6,1,6,U,40,South Carolina,0,0,0,0.1111111111,0.5050505051,0,0,0,0,0,0.99,0,0.01,0
39,31016,4,1,1,0,0,1,0,1,1,0,0,1,3,1,1,0,1,0,0,1,0.5,0,1,46,Mediana_edad,1,1,0,4,1,99,R,5,California,0,0,0,0.6666666667,0.0505050505,0.375,0,0,0,0.01,0.02,0,0.96,0
40,31516,3,1,1,1,2,1,1,1,1,0,1,1,3,1,0,0,0,0,0,0,1,0,2,69,Ciudadano_de_oro,1,2,0,8,3,8,S,12,Idaho,0,0,0,0.1111111111,0.5050505051,0.5,0,0,0,0,0.99,0,0.01,0
41,40216,1,1,0,1,2,1,1,1,1,1,0,2,3,1,0,0,0,0,0,0,1,0,2,79,Ciudadano_de_oro,3,2,0,8,3,6,U,4,Arkansas,0,0,0,0.2222222222,0.0505050505,0,0,0,0,0.09,0.53,0.08,0.24,0.06
