@relation migracion_v3_clustered

@attribute Instance_number numeric
@attribute zona {1,2,9}
@attribute instruccion {0,1,2,3,4,5,6,7,8,9,99}
@attribute trabajo {1,2,9}
@attribute region {1,2,3,4,5,6,9}
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5}

@data
673,1,8,1,1,cluster4
674,1,8,1,1,cluster4
675,1,7,2,1,cluster4
676,1,3,2,1,cluster3
677,1,8,1,1,cluster4
678,1,7,2,1,cluster4
679,1,8,1,1,cluster4
680,1,7,2,1,cluster4
681,1,7,2,1,cluster4
682,1,8,1,1,cluster4
683,1,8,2,1,cluster4
684,1,7,1,1,cluster4
685,1,8,1,1,cluster4
686,1,4,1,1,cluster3
687,1,2,2,1,cluster0
688,1,1,1,1,cluster0
689,1,7,2,1,cluster4
690,1,7,2,1,cluster4
691,1,7,2,1,cluster4
692,1,7,1,1,cluster4
693,1,3,1,1,cluster1
694,1,8,2,1,cluster4
695,1,8,2,1,cluster4
696,1,8,1,1,cluster4
697,1,2,2,1,cluster0
698,1,4,1,1,cluster3
699,1,7,1,1,cluster4
700,1,7,2,1,cluster4
701,1,4,2,1,cluster3
702,1,4,1,1,cluster3
703,1,6,1,1,cluster4
704,1,8,1,1,cluster4
705,1,4,2,1,cluster3
706,1,7,2,1,cluster4
707,1,3,2,1,cluster3
708,1,3,2,1,cluster3
709,1,7,1,1,cluster4
710,1,0,9,1,cluster0
711,1,7,1,1,cluster4
712,1,1,9,1,cluster0
713,1,7,2,1,cluster4
714,1,7,1,1,cluster4
715,1,8,1,1,cluster4
716,1,7,1,1,cluster4
717,1,3,2,1,cluster3
718,1,3,2,1,cluster3
719,1,8,1,1,cluster4
720,1,7,2,1,cluster4
721,1,2,2,1,cluster0
722,1,4,1,1,cluster3
723,1,7,1,1,cluster4
724,1,2,2,1,cluster0
725,1,2,2,1,cluster0
726,1,7,1,1,cluster4
727,1,3,2,1,cluster3
728,1,7,1,1,cluster4
729,1,7,1,1,cluster4
730,1,7,1,1,cluster4
731,1,4,2,1,cluster3
732,1,1,2,1,cluster0
733,1,2,2,1,cluster0
734,1,5,1,1,cluster3
735,1,7,1,1,cluster4
736,1,2,1,1,cluster1
737,1,0,2,1,cluster0
738,1,2,2,1,cluster0
739,1,1,2,1,cluster0
740,1,1,2,1,cluster0
741,1,2,2,1,cluster0
742,1,2,2,1,cluster0
743,1,0,2,1,cluster0
744,1,2,2,1,cluster0
745,1,2,1,1,cluster1
746,1,2,2,1,cluster0
747,1,2,2,1,cluster0
748,1,7,1,1,cluster4
749,1,3,2,1,cluster3
750,1,3,2,1,cluster3
751,1,3,2,1,cluster3
752,1,7,2,1,cluster4
753,1,7,2,1,cluster4
754,1,4,1,1,cluster3
755,1,1,9,1,cluster0
756,1,1,9,1,cluster0
757,1,7,1,1,cluster4
758,1,7,2,1,cluster4
759,1,0,9,1,cluster0
760,1,2,2,1,cluster0
761,1,2,2,1,cluster0
762,1,7,2,1,cluster4
763,1,2,1,1,cluster1
764,1,7,1,1,cluster4
765,1,2,2,1,cluster0
766,1,3,1,1,cluster1
767,1,7,1,1,cluster4
768,1,3,1,1,cluster1
769,1,4,1,1,cluster3
770,1,7,1,1,cluster4
771,1,4,1,1,cluster3
772,1,3,1,1,cluster1
773,1,3,2,1,cluster3
774,1,7,1,1,cluster4
775,1,7,1,1,cluster4
776,1,6,2,1,cluster4
777,1,3,2,1,cluster3
778,1,4,2,1,cluster3
779,1,3,2,1,cluster3
780,1,2,1,1,cluster1
781,1,3,2,1,cluster3
782,1,3,2,1,cluster3
783,1,2,1,1,cluster1
784,1,2,1,1,cluster1
785,1,3,1,1,cluster1
786,1,4,2,1,cluster3
787,1,2,2,1,cluster0
788,1,3,1,1,cluster1
789,1,3,1,1,cluster1
790,1,3,2,1,cluster3
791,1,2,2,1,cluster0
792,1,1,9,1,cluster0
793,1,2,2,1,cluster0
794,1,2,1,1,cluster1
795,1,2,2,1,cluster0
796,1,7,1,1,cluster4
797,1,7,1,1,cluster4
798,1,1,9,1,cluster0
799,1,0,9,1,cluster0
800,1,3,2,1,cluster3
801,1,2,1,1,cluster1
802,1,2,1,1,cluster1
803,1,4,2,1,cluster3
804,1,2,2,1,cluster0
805,1,1,2,1,cluster0
806,1,7,1,1,cluster4
807,1,2,2,1,cluster0
808,1,1,1,1,cluster0
809,1,3,2,1,cluster3
810,1,1,9,1,cluster0
811,1,2,2,1,cluster0
812,1,6,1,1,cluster4
813,1,4,1,1,cluster3
814,1,2,2,1,cluster0
815,1,0,2,1,cluster0
816,1,2,2,1,cluster0
817,1,5,2,1,cluster3
818,1,4,1,1,cluster3
819,1,1,2,1,cluster0
820,1,2,1,1,cluster1
821,1,3,1,1,cluster1
822,1,4,2,1,cluster3
823,1,1,2,1,cluster0
824,1,4,1,1,cluster3
825,1,2,1,1,cluster1
826,1,3,1,1,cluster1
827,1,7,1,1,cluster4
828,1,2,1,1,cluster1
829,1,2,2,1,cluster0
830,1,2,2,1,cluster0
831,1,2,1,1,cluster1
832,1,2,2,1,cluster0
833,1,1,2,1,cluster0
834,1,1,2,1,cluster0
835,1,3,2,1,cluster3
836,1,1,2,1,cluster0
837,1,2,1,1,cluster1
838,1,0,9,1,cluster0
839,1,2,1,1,cluster1
840,1,1,2,1,cluster0
841,1,1,2,1,cluster0
842,1,1,2,1,cluster0
843,1,2,1,1,cluster1
844,1,3,1,1,cluster1
845,1,2,2,1,cluster0
846,1,4,1,1,cluster3
847,1,4,1,1,cluster3
848,1,4,2,1,cluster3
849,1,4,1,1,cluster3
850,1,1,2,1,cluster0
851,1,4,1,1,cluster3
852,1,2,2,1,cluster0
853,1,2,1,1,cluster1
854,1,3,1,1,cluster1
855,1,3,1,1,cluster1
856,1,1,2,1,cluster0
857,1,3,2,1,cluster3
858,1,7,1,1,cluster4
859,1,2,2,1,cluster0
860,1,1,9,1,cluster0
861,1,1,2,1,cluster0
862,1,2,2,1,cluster0
863,1,7,2,1,cluster4
864,1,3,2,1,cluster3
865,1,2,1,1,cluster1
866,1,2,1,1,cluster1
867,1,2,2,1,cluster0
868,1,2,2,1,cluster0
869,1,7,1,1,cluster4
870,1,7,1,1,cluster4
871,1,2,1,1,cluster1
872,1,2,2,1,cluster0
873,1,2,2,1,cluster0
874,1,2,1,1,cluster1
875,1,2,1,1,cluster1
876,1,4,2,1,cluster3
877,1,7,1,1,cluster4
878,1,7,2,1,cluster4
879,1,3,1,1,cluster1
880,1,0,2,1,cluster0
881,1,3,1,1,cluster1
882,1,5,2,1,cluster3
883,1,3,2,1,cluster3
884,1,0,9,1,cluster0
885,1,2,2,1,cluster0
886,1,4,2,1,cluster3
887,1,6,1,1,cluster4
888,1,3,2,1,cluster3
889,1,0,9,1,cluster0
890,1,1,2,1,cluster0
891,1,2,2,1,cluster0
892,1,2,1,1,cluster1
893,1,2,1,1,cluster1
894,1,3,2,1,cluster3
895,1,2,1,1,cluster1
896,1,2,2,1,cluster0
897,1,2,1,1,cluster1
898,1,2,1,1,cluster1
899,1,1,2,1,cluster0
900,1,2,2,1,cluster0
901,1,3,1,1,cluster1
