id,region_residencia,zona,edad,region_nacimiento,residencia_hace_dos_anos,titulo,condicion_actual
2551,1,1,49,1,1,2,3
8459,4,1,23,4,4,0,2
5466,1,1,36,1,1,5,1
6383,1,2,15,4,1,0,3
5056,1,1,49,1,1,6,1
5487,1,1,60,1,1,4,1
2954,1,1,60,1,1,6,1
2791,1,1,26,9,1,0,3
63,1,1,33,2,1,0,3
6971,2,1,56,2,2,4,1
1377,1,1,28,3,1,0,1
5115,1,1,26,1,1,4,1
7208,2,1,80,2,2,2,3
5993,1,1,28,1,1,4,1
625,1,1,52,1,1,4,1
5076,1,1,26,1,1,0,3
4792,1,1,23,1,1,3,3
3185,1,1,49,1,1,4,1
2962,1,1,65,1,1,3,1
74,1,1,38,1,1,0,1
981,1,1,53,1,1,4,1
2072,1,1,34,2,1,3,1
1442,1,1,29,1,1,4,1
5349,1,1,73,1,1,4,3
4958,1,1,48,3,1,4,1
4917,1,1,64,1,1,4,1
5657,1,1,42,1,1,1,1
6124,1,2,19,1,1,0,3
7196,2,1,24,2,2,2,2
2577,1,1,43,1,1,4,1
673,1,1,46,1,1,6,1
5452,1,1,63,1,1,4,3
5738,1,1,76,1,1,3,3
3454,1,1,33,1,1,6,1
5878,1,1,61,1,1,6,1
4209,1,1,39,1,1,1,1
2367,1,1,38,1,1,6,2
2527,1,1,69,1,1,4,3
315,1,1,54,5,1,0,1
11136,6,2,30,1,6,0,1
3552,1,1,63,1,1,3,1
5834,1,1,58,6,1,6,1
7254,2,2,29,1,2,3,1
8402,4,1,39,1,1,0,3
8930,4,2,15,4,4,0,3
2131,1,1,45,1,1,4,1
1568,1,1,26,1,1,3,1
6624,1,2,39,1,1,3,1
6972,2,1,45,2,2,4,1
3258,1,1,35,1,1,4,1
4935,1,1,32,5,1,4,1
6023,1,1,22,2,1,3,3
4306,1,1,61,2,1,6,2
5045,1,1,49,1,1,1,1
6403,1,2,42,1,1,2,3
2668,1,1,23,1,1,0,1
2314,1,1,71,1,1,0,3
6859,2,1,31,1,2,4,1
7495,2,2,76,1,2,4,3
10692,6,2,32,1,6,4,1
5726,1,1,42,1,1,4,1
4877,1,1,31,1,1,4,1
4054,1,1,35,1,1,4,1
6907,2,1,49,2,2,4,1
11190,6,2,21,1,6,0,2
2683,1,1,99,4,1,4,3
8428,4,1,60,1,4,0,1
4976,1,1,20,1,1,0,3
4711,1,1,53,1,1,6,1
8716,4,1,54,1,4,6,1
4901,1,1,52,1,1,4,1
1280,1,1,34,1,1,4,1
5120,1,1,45,4,1,4,1
3907,1,1,30,1,1,4,3
4518,1,1,48,1,1,3,1
3028,1,1,35,1,1,4,1
7299,2,2,33,2,2,0,3
4967,1,1,46,1,1,4,1
3748,1,1,47,3,1,4,1
10017,5,2,36,1,5,4,1
6077,1,1,58,1,1,4,1
452,1,1,48,2,1,1,1
775,1,1,27,4,1,3,1
4619,1,1,46,1,1,4,1
7571,3,1,41,1,3,1,1
5710,1,1,61,1,1,1,3
3088,1,1,60,1,1,3,1
7167,2,1,17,9,9,0,3
8596,4,1,60,4,4,3,3
3896,1,1,30,2,1,3,1
2958,1,1,57,1,1,3,3
5354,1,1,64,2,1,4,3
5543,1,1,35,1,1,4,1
8516,4,1,29,4,4,0,1
7058,2,1,25,1,2,0,1
5739,1,1,76,1,1,1,3
364,1,1,45,1,1,4,1
1133,1,1,51,1,1,0,1
1863,1,1,43,1,1,5,1
8851,4,2,42,1,4,4,1
3538,1,1,23,1,1,0,2
5281,1,1,61,1,1,6,3
132,1,1,65,4,1,1,1
9321,5,1,64,5,5,6,1
10980,6,2,22,1,6,1,3
3090,1,1,30,1,1,4,1
5757,1,1,63,2,1,0,1
7619,3,1,26,1,3,4,1
1409,1,1,41,1,1,4,1
4476,1,1,52,1,1,0,1
4558,1,1,29,1,1,5,3
2642,1,1,20,1,1,0,1
2884,1,1,23,1,1,0,3
8056,3,1,32,4,3,3,1
706,1,1,19,1,1,0,3
2888,1,1,51,4,1,0,1
4963,1,1,25,5,1,3,1
10287,5,2,32,9,5,3,1
3632,1,1,22,6,1,4,1
8750,4,2,57,1,4,4,1
6899,2,1,29,1,2,3,1
7233,2,1,45,2,2,6,1
9671,5,1,26,2,5,3,3
6850,2,1,46,1,2,6,1
2378,1,1,57,1,1,3,1
3389,1,1,99,2,1,1,1
5782,1,1,37,1,1,3,1
4448,1,1,45,1,1,4,1
6098,1,2,17,1,1,0,1
6342,1,2,40,5,1,0,1
6813,2,1,30,2,2,3,1
729,1,1,31,1,1,0,1
8222,3,2,65,2,3,2,3
4863,1,1,35,1,1,1,1
6973,2,1,72,2,2,3,3
5884,1,1,76,1,1,3,3
2374,1,1,57,4,1,4,1
363,1,1,30,1,1,0,1
4219,1,1,49,1,1,4,1
2753,1,1,65,1,1,3,3
10991,6,2,33,1,6,4,1
7099,2,1,33,4,2,3,1
5331,1,1,47,1,1,3,1
5836,1,1,31,1,1,4,1
2767,1,1,45,1,1,4,1
5574,1,1,32,1,1,4,1
2008,1,1,35,1,1,4,1
5356,1,1,31,1,1,4,1
2727,1,1,24,1,1,0,1
5952,1,1,47,3,1,6,1
8137,3,2,19,1,3,1,3
115,1,1,45,1,1,0,1
2387,1,1,53,3,1,4,1
1351,1,1,26,4,1,3,1
5227,1,1,51,1,1,4,1
2898,1,1,30,1,1,3,1
2023,1,1,33,5,1,4,1
8393,4,1,58,1,4,0,3
4422,1,1,20,6,1,0,3
5663,1,1,35,6,1,0,1
147,1,1,28,1,1,0,1
1435,1,1,24,5,1,3,1
2187,1,1,20,6,1,0,3
2863,1,1,22,1,1,0,3
2610,1,1,52,9,1,0,1
5501,1,1,48,1,1,2,1
4972,1,1,83,2,1,1,3
7375,2,2,37,2,2,0,1
7678,3,1,24,9,3,0,1
6083,1,1,40,1,1,4,1
5040,1,1,29,1,1,0,1
2484,1,1,35,1,1,3,1
11132,6,2,26,1,6,0,1
4953,1,1,38,2,1,0,1
547,1,1,51,2,1,4,1
1637,1,1,31,1,1,4,1
248,1,1,29,1,1,3,2
2996,1,1,75,1,1,3,3
3494,1,1,37,1,1,4,1
4276,1,1,34,1,1,3,1
5422,1,1,56,1,1,6,1
6547,1,2,41,5,1,1,1
2553,1,1,21,1,1,0,3
4315,1,1,36,4,1,0,1
870,1,1,23,1,1,0,1
4151,1,1,38,1,1,3,1
3104,1,1,23,1,1,2,3
6878,2,1,59,2,2,3,1
1403,1,1,72,1,1,0,3
1072,1,1,47,1,1,4,1
5326,1,1,33,1,1,3,1
8776,4,2,48,4,4,4,1
3672,1,1,60,3,1,4,3
6013,1,1,29,1,1,4,1
3812,1,1,52,1,1,4,1
728,1,1,61,1,1,0,1
6600,1,2,56,1,1,4,1
2222,1,1,43,5,1,4,1
5556,1,1,46,1,1,2,1
