int_date,live1,reg,eminuse,intmob,home3nw,bbhome1f1,smart1,low_budget_e_reader_1_high_2_no_3,Desktop_laptop,Twitter,Instagram,Pinterest,Facebook,Freq_Twitter,Freq_Instagram,Freq_Pinterest,Freq_LinkedIn,Freq_Facebook,amount_books_read,printed_books_read,audiobooks_heard,Ebooks_read,phy_public_library,virtual_public_library,freq_library_visit,freq_virtual_library_visit,freq_mobile_library_visit,library_loan_ebooks,borrow_print_books,help_from_librarian,sit_and_Study,class_to_use_computer,Attend_group_meeting,internet_use_library,library_impact_your_family,library_impact_community,sex,age,marital,par,kidage1,educ2,emplnw,inc,usr,state,weight,standwt
31016,4,1,1,1,1,2,1,3,1,1,2,2,1,1,0,0,0,2,98,0,0,0,1,3,2,0,0,1,1,2,2,2,2,2,2,1,2,59,5,2,0,3,2,2,R,51,3.59375,1.1851619259
31016,1,1,2,1,1,2,1,3,1,2,2,2,2,0,0,0,3,0,6,1,2,2,1,2,4,0,0,1,1,2,1,2,2,1,2,1,1,55,1,2,0,8,1,9,S,13,1.40625,0.4637590145
31716,3,1,1,1,1,2,1,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,1,3,4,0,0,8,2,2,2,2,2,2,3,1,2,44,1,1,2,6,1,7,S,34,2.8125,0.927518029
31016,2,1,1,2,2,0,2,3,1,2,2,2,2,0,0,0,0,0,97,1,2,2,1,3,1,0,0,1,1,2,2,2,2,2,1,1,2,65,3,2,0,6,3,3,S,48,1.09375,0.3607014557
32016,3,1,1,1,1,2,1,3,1,2,2,2,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,0,0,0,0,0,2,3,2,2,53,1,2,0,5,1,8,S,17,3.21875,1.0614928554
31016,1,1,1,1,1,2,1,2,1,2,1,2,1,0,1,0,0,1,2,1,2,2,1,3,3,0,0,1,1,2,2,2,2,2,3,2,2,39,6,1,1,6,3,6,S,32,2.75,0.9069065172
31016,1,1,1,1,1,2,1,3,1,2,2,2,2,0,0,0,0,0,98,0,0,0,3,3,0,0,0,2,0,0,0,0,0,0,3,8,1,79,3,2,0,4,3,2,U,12,1.28125,0.422535991
31016,3,1,1,1,1,2,1,2,1,1,1,2,1,6,5,0,0,5,10,1,2,1,1,1,3,3,0,2,1,2,1,2,2,1,1,1,1,61,1,2,0,6,6,7,S,34,1.125,0.3710072116
40416,1,1,1,1,1,2,1,2,1,1,2,2,1,1,0,0,1,1,97,1,1,2,1,1,2,1,1,1,1,1,1,1,2,1,1,1,2,38,3,2,0,6,1,5,U,42,3.5,1.1542446583
31016,1,1,1,1,1,8,2,3,1,2,2,2,2,0,0,0,0,0,8,1,2,2,1,3,3,0,0,1,1,2,1,1,2,2,1,2,2,37,3,1,1,6,1,99,U,13,2.46875,0.8141547143
31016,3,1,1,1,1,2,2,2,1,2,2,2,2,0,0,0,0,0,30,1,2,2,1,1,3,4,0,8,1,1,2,1,2,1,1,1,2,50,2,2,0,5,4,2,S,53,2.53125,0.8347662261
32016,3,1,1,1,1,2,1,2,2,1,2,2,1,3,0,0,6,2,50,1,2,1,2,3,0,0,0,1,0,0,0,0,0,2,2,1,2,41,1,1,1,8,1,5,R,32,2.75,0.9069065172
31216,4,1,2,2,0,0,2,3,2,0,0,0,0,0,0,0,0,0,1,1,2,2,3,3,0,0,0,1,0,0,0,0,0,0,2,1,1,84,4,2,0,2,8,1,S,22,2.78125,0.9172122731
31216,4,2,1,2,1,2,1,2,1,2,2,2,2,0,0,0,0,0,4,1,2,1,3,3,0,0,0,1,0,0,0,0,0,0,3,2,1,54,1,2,0,4,1,6,R,12,2.125,0.7007913997
31216,3,1,1,1,1,2,1,2,1,1,1,1,1,1,3,1,3,1,97,1,2,1,1,2,4,0,0,1,1,2,1,2,2,2,1,1,2,53,1,1,0,6,1,7,S,28,1.96875,0.6492626203
32016,3,1,1,1,1,2,1,2,1,1,2,1,1,6,0,5,3,1,4,1,1,1,1,3,4,0,0,1,2,2,1,2,2,1,1,1,2,52,1,1,2,3,1,6,R,42,3.15625,1.0408813436
31216,2,3,1,1,1,2,1,2,1,2,2,2,2,0,0,0,0,0,12,1,2,2,3,3,0,0,0,8,0,0,0,0,0,0,2,2,1,49,3,2,0,5,1,3,S,36,1.6875,0.5565108174
31216,2,1,1,1,1,2,1,3,1,1,1,1,1,3,3,5,3,1,60,1,2,2,1,1,2,1,0,1,1,2,2,2,2,1,1,1,2,45,1,1,0,8,1,9,U,26,2.1875,0.7214029114
31216,1,3,1,1,1,2,0,3,1,2,2,2,1,0,0,0,0,1,10,1,1,1,1,1,3,3,4,1,1,1,2,1,1,1,1,1,2,62,3,2,0,8,3,4,U,45,4.65625,1.5355576257
