int_date,sex,eminuse,intmob,snsint,home3nw,bbhome1,smart1,low_budget_e_reader_1_high_2_no_3,Desktop_laptop,Twitter,Instagram,Pinterest,Facebook,Freq_Twitter,Freq_Instagram,Freq_Pinterest,Freq_LinkedIn,Freq_Facebook,amount_books_read,printed_books_read,audiobooks_heard,Ebooks_read,phy_public_library,virtual_public_library,freq_library_visit,freq_virtual_library_visit,freq_mobile_library_visit,library_loan_ebooks,borrow_print_books,help_from_librarian,sit_and_Study,class_to_use_computer,Attend_group_meeting,internet_use_library,library_impact_your_family,library_impact_community,age,marital,parent,Kidage_17,educ2,emplnw,inc,usr,state,density,weight,standwt
40415,1,1,1,1,1,2,1,2,1,2,2,2,1,0,0,0,0,2,3,2,1,1,2,3,0,0,0,8,0,0,0,0,0,2,3,2,26,1,2,0,3,1,7,S,6,3,3.0857142857,1.1070738671
40415,1,2,2,2,0,0,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,8,0,0,0,0,0,0,3,1,50,3,2,0,3,1,3,S,9,4,2.6285714286,0.9430629238
40415,2,1,1,1,1,2,1,1,1,2,1,1,1,0,2,2,0,3,12,1,1,1,1,3,1,0,0,8,1,2,1,2,2,2,1,2,31,4,1,1,6,4,5,R,48,1,2.6857142857,0.9635642917
40715,2,1,1,2,1,2,8,3,2,2,2,2,1,0,0,0,0,2,0,0,0,0,3,3,0,0,0,2,0,0,0,0,0,0,3,3,28,1,1,2,3,4,1,U,47,4,5.4571428571,1.9578806353
40415,1,2,1,2,2,0,2,2,2,2,2,2,2,0,0,0,0,0,5,1,2,1,2,3,0,0,0,8,0,0,0,0,0,2,2,2,53,6,2,0,3,1,7,U,47,1,3.0857142857,1.1070738671
40415,1,1,2,2,1,2,1,3,1,2,2,2,2,0,0,0,0,0,1,1,2,2,1,3,4,0,0,8,1,2,2,2,2,2,2,1,49,1,1,1,3,1,6,S,17,1,1.6285714286,0.5842889854
40415,2,1,1,1,1,2,1,2,1,2,2,8,1,0,0,0,0,2,10,1,1,1,2,3,0,0,0,1,0,0,0,0,0,2,1,1,80,5,2,0,6,3,7,S,23,2,1.3428571429,0.4817821459
40415,1,1,1,1,1,2,1,3,1,1,1,1,1,3,3,3,0,3,0,0,0,0,3,3,0,0,0,8,0,0,0,0,0,0,3,1,49,6,8,0,3,1,6,U,44,4,2.9714285714,1.0660711313
40415,2,1,1,1,1,2,1,2,1,1,1,1,1,1,2,2,0,2,4,1,2,2,2,3,0,0,0,8,0,0,0,0,0,2,3,2,16,6,2,0,2,2,98,U,18,3,1.3714285714,0.4920328298
40415,2,1,1,1,1,2,1,3,2,2,1,2,1,0,2,0,0,3,3,1,2,2,1,3,3,0,0,2,1,2,1,2,2,2,2,1,17,6,2,0,2,4,98,R,41,1,2.8,1.0045670275
40415,2,1,1,1,1,8,2,2,2,2,2,2,1,0,0,0,0,2,3,1,2,2,3,3,0,0,0,8,0,0,0,0,0,0,2,1,65,1,2,0,3,3,99,U,53,3,2.3428571429,0.8405560843
40415,2,1,2,1,1,2,2,1,1,2,2,8,1,0,0,0,0,6,15,1,2,1,1,3,4,0,0,1,2,1,2,2,1,2,1,1,80,3,2,0,7,3,3,R,4,1,1,0.3587739384
40415,1,1,1,2,1,1,1,3,1,2,2,2,2,0,0,0,0,0,5,1,2,2,1,3,4,0,0,8,1,1,2,2,2,2,2,2,55,6,2,0,5,1,6,S,42,4,2.4,0.8610574522
40715,1,2,2,2,0,0,8,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,2,0,0,0,0,0,0,2,1,42,6,2,0,4,2,1,U,36,2,3.7714285714,1.353090282
40415,2,1,1,1,1,2,1,2,2,2,1,1,1,0,5,6,0,1,20,1,2,2,1,3,3,0,0,8,1,2,2,2,1,1,1,1,28,1,1,2,3,1,5,S,34,3,5.4285714286,1.9476299513
40415,2,1,1,1,1,2,1,1,1,2,1,1,1,0,1,3,0,1,5,2,2,1,2,3,0,0,0,8,0,0,0,0,0,2,3,3,24,6,2,0,6,2,2,S,34,5,2.4,0.8610574522
40415,1,2,2,2,0,0,2,3,1,0,0,0,0,0,0,0,0,0,1,1,2,2,2,3,0,0,0,1,0,0,0,0,0,2,2,1,51,3,1,3,3,6,5,S,17,1,2.6857142857,0.9635642917
40415,2,1,1,2,1,2,8,3,1,2,2,2,1,0,0,0,0,2,1,1,2,2,2,3,0,0,0,8,0,0,0,0,0,2,3,2,63,5,2,0,5,6,3,S,6,3,3.6,1.2915861783
40415,1,1,1,2,1,2,1,2,1,2,2,2,2,0,0,0,0,0,1,1,2,2,1,3,4,0,0,8,2,2,1,2,2,2,2,1,45,1,1,1,1,1,7,U,6,5,3.2857142857,1.1788286548
40515,1,1,1,1,1,2,1,2,1,1,1,1,1,6,1,3,0,1,3,1,2,1,1,3,4,0,0,1,1,2,1,2,2,1,3,2,27,6,2,0,8,1,5,S,53,4,3.7428571429,1.342839598
40415,1,2,1,2,2,0,8,3,2,2,2,2,2,0,0,0,0,0,10,2,1,1,1,3,1,0,0,1,2,2,1,1,2,1,1,1,48,6,2,0,3,2,1,U,39,5,2.9714285714,1.0660711313
40415,2,1,1,2,1,2,1,2,1,2,2,2,2,0,0,0,0,0,15,1,2,2,1,1,2,2,4,1,1,1,2,2,1,2,1,1,54,1,2,0,6,2,9,S,39,5,2.0571428571,0.7380492447
40415,1,1,1,1,1,2,1,2,1,1,1,1,1,6,2,2,0,2,0,0,0,0,1,1,4,4,4,1,1,1,1,2,2,2,1,1,36,6,2,0,1,2,3,S,36,5,3.5714285714,1.2813354943
40415,1,1,1,2,1,2,1,1,1,2,2,2,2,0,0,0,0,0,5,1,2,2,1,3,4,0,0,8,2,2,1,2,2,2,3,1,27,6,2,0,3,1,3,U,42,5,3.1714285714,1.1378259189
40415,1,1,1,1,1,9,2,2,1,2,2,2,1,0,0,0,0,2,0,0,0,0,1,3,3,0,0,1,1,2,1,2,2,1,1,1,35,1,1,2,2,1,2,U,48,3,3.5428571429,1.2710848103
40415,1,2,1,1,1,2,1,2,1,1,1,2,1,3,1,0,0,1,2,1,2,2,1,1,3,4,5,1,1,1,1,2,2,1,2,2,19,6,2,0,3,4,98,S,12,4,3.2857142857,1.1788286548
40415,1,1,2,2,1,2,2,3,1,2,2,2,2,0,0,0,0,0,2,1,2,2,2,3,0,0,0,8,0,0,0,0,0,2,3,1,62,1,2,0,5,3,9,R,13,1,2.1142857143,0.7585506126
40915,2,1,1,1,1,2,1,3,1,2,2,2,1,0,0,0,0,1,1,1,2,2,2,2,0,0,0,8,0,0,0,0,0,2,3,4,56,1,2,0,8,1,7,S,42,4,2.8857142857,1.0353190794
40415,1,1,1,1,1,2,1,2,1,1,1,2,1,1,1,0,0,3,8,1,2,1,1,2,4,0,0,1,1,2,1,2,2,2,2,1,18,6,2,0,3,2,7,S,42,4,3.2,1.1480766029
40415,2,1,2,1,1,2,1,1,1,2,2,2,1,0,0,0,0,1,97,1,2,1,1,1,1,2,3,1,1,2,1,2,2,2,1,1,68,1,2,0,6,3,7,R,33,2,1.3428571429,0.4817821459
40415,1,1,1,1,1,2,1,1,2,2,2,1,1,0,0,9,0,1,6,1,2,1,1,3,4,0,0,8,2,2,2,2,2,2,3,1,34,1,1,2,4,1,6,U,13,3,4.4857142857,1.6093573808
40415,1,1,1,1,1,2,1,3,1,2,2,2,1,0,0,0,0,1,5,1,2,2,1,3,4,0,0,8,1,1,2,2,2,2,2,1,58,1,2,0,8,1,8,S,34,5,1.6285714286,0.5842889854
40415,2,1,1,1,1,2,1,2,1,1,1,1,1,3,1,3,0,5,10,2,2,2,2,3,0,0,0,8,0,0,0,0,0,2,3,2,16,9,2,0,2,4,1,U,26,5,2.6,0.9328122398
40415,1,2,1,2,2,0,2,3,2,2,2,2,2,0,0,0,0,0,1,8,2,2,2,3,0,0,0,8,0,0,0,0,0,2,2,8,18,6,2,0,2,1,2,S,18,1,1.6285714286,0.5842889854
