psraid,sample,int_date,lang,form,sex,q1,live1,reg,oftvote,q2a,q2b,eminuse,intmob,snsint,home3nw,bbhome1,device1a,smart1,device1b,device1c,device1d,device1e,device1f,device1g,act112,act124,act125,act135,act126,act136,act123,act122,act137,act127,act128,sns2a,sns2b,sns2c,sns2d,sns2e,sns2f,sns2g,books1,books2a,books2b,books2c,libusea,libuseb,lib_frq,libst_frq,libapp_frq,libmob,ebk_awr,ebk_brw,q11a,q11b,q11c,q11d,q11e,q11f,q11g,q11h,q11i,q11j,q12,q13a,q13b,q13c,q13d,q13e,q13f,q13g,q13h,q14,q15,q16a,q16b,q16c,q16d,q16e,q16f,q16g,q16h,q17a,q17b,q18a,q18b,q19a,q19b,q19c,q19d,q19e,q19f,q19g,q19h,q19i,q19j,q20a,q20b,q20c,q20d,q20e,q20f,q21,q22,q23,q24a,q24b,q24c,q24d,q24e,q24f,age,marital,hh1,par,kidage1,kidage2,kidage3,educ2,emplnw,stud,edinst,disa,party,partyln,ideo,hisp,birth_hisp,race,inc,ql1a,qc1,zipcode,usr,cregion,state,density,weight,standwt
100086,1,31715,1,2,1,3,4,1,3,2,2,1,1,1,1,2,1,1, , , ,2,2,2, , , , , ,2,2,2,2,2,2, , , , , , , ,0, , , ,3,3, , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,3,2, , , , , ,1,1,1,1,1, , , ,9,8,4,1,1,2, , , , , , ,49,1,2,1,0,1,0,3,1,3, ,2,1, ,2,2, ,1,6, , ,18473,R,1,42,1,2.88571428571429,1.03531907939242
100088,1,31715,1,1,2,1,4,1,1,2,1,1,1,1,1,2,1,2,2,2,1, , , ,2,2,1,1,2, , , , , , , , ,2, ,2, , ,97,1,2,2,3,1, ,4,4,2,8, , , , , , , , , , , , , , , , , , , , , , ,2,2,2,2, , , , ,1,1,1,1,1,3,1,1,2, , , , , ,1,1,1, , , ,1,2,1,1,2,2, , , ,62,5,1,2, , , ,3,3,3, ,1,1, ,2,2, ,1,2, , ,71845,R,3,5,1,1.57142857142857,.56378761749092
100091,1,31715,1,1,2,1,4,1,2,2,2,1,2,2,1,2,1,2,2,2,1, , , ,2,2,1,2,2, , , , , , , , ,3, , , , ,3,1,2,2,1,3,4, , , ,1,2,2,1,2,2,2,2, , , , ,2, , , , , , , , ,2, , , , , , , , , ,1,1,1,1,1,2,1,1,1, , , , , ,3,1,1, , , ,2,3,2,2,2,1, , , ,60,1,2,2, , , ,3,1,3, ,2,2, ,2,2, ,1,4, , ,17237,S,1,42,2,3.34285714285714,1.1993300226625
100100,1,31715,1,2,1,2,4,2, ,2,2,2,2,2, , ,1,2, , , ,2,2,2, , , , , , , , , , , , , , , , , , ,0, , , ,3,3, , , , ,8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8,8,3,8, , , , , ,8,2,1,1,1, , , ,3,8,8, , ,2, , , , , , ,59,6,1,2, , , ,2,4,3, ,1,4,9,9,2, ,2,98, , ,36541,S,3,1,2,1.45714285714286,.522784881673399
100101,1,32315,1,2,1,1,2,1,1,2,2,1,2,2,1,2,1,2, , , ,2,2,2, , , , , ,2,2,2,2,2,2, , , , , , , ,6,1,2,2,1,2,4, , , ,1,2,2,2,1, , , ,2,2,2,2,2, , , , , , , , ,2, , , , , , , , , ,1,2,2,2, , , , , ,2,1,3,1,1, , , ,2,2,1,2,2,2, , , ,2,2,2,73,5,1,2, , , ,4,3,3, ,2,3,1,3,2, ,1,2, , ,04419,S,1,23,1,1.17142857142857,.420278042129595
100112,1,41115,1,2,2,2,4,1,2,2,2,1,2,2,1,2,1,2, , , ,2,2,2, , , , , ,2,2,2,2,2,2, , , , , , , ,98, , , ,2,3, , , , ,1,2, , , , , , , , , , ,2, , , , , , , , ,2, , , , , , , , , ,8,2,2,1, , , , , ,2,1,1,2,2, , , ,2,3,3,3,2,2, , , ,2,2,2,76,5,1,2, , , ,4,3,3, ,2,3,8,2,2, ,1,98, , ,40456,R,3,21,1,1,.358773938403313
100115,1,32315,1,1,2,1,1,1,1,2,2,2,2,2, , ,2, ,2,2,2, , , , , , , , , , , , , , , , , , , , , ,3,1,2,2,3,3, , , , ,8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,3,1,1,8,1,2,2, , , , , ,8,8,8, , , , , ,2, , , , , , ,75,3,1,2, , , ,2,3,3, ,1,3,1,2,2, ,1,1,2, ,59102,U,4,30,1,4.82857142857143,1.73236558829028
100117,1,31715,1,1,1,2,1,1,1,2,2,2,2,2, , ,1,1,2,1,1, , , , , , , , , , , , , , , , , , , , , ,99, , , ,2,3, , , , ,1,2, , , , , , , , , , ,2, , , , , , , , ,2, , , , , , , , , ,8,1,3,1,1,3,1,2,1, , , , , ,9,1,9, , , , , ,2,2,2,2, , , ,67,1,2,2, , , ,5,3,3, ,1,2, ,3,2, ,2,99, , ,43227,U,2,39,5,2.2,.789302664487288
100124,1,41015,1,2,1,3,3,1,2,2,1,1,2,1,1,2,2, , , , ,2,2,2, , , , , ,2,2,2,2,2,1, , , , , , , ,75,2,2,1,1,1,4,1,1,1,1,1,1,1,2, , , ,2,2,2,2,2, , , , , , , , ,2, , , , , ,1,1,1,2,1,1,1,1, , , , , ,1,1,3,1,1, , , ,1,2,2,1,1,2, , , ,1,1,1,47,6,2,2, , , ,3,4,3, ,1,1, ,3,2, ,1,2,1, ,40065,S,3,21,2,5.57142857142857,1.99888337110417
100132,1,31715,1,2,1,3,2,1,1,2,2,1,1,2,1,2,1,1, , , ,2,1,2, , , , , ,2,2,2,2,2,1, , , , , , , ,7,1,2,1,2,3, , , , ,8, , , , , , , , , , , ,2, , , , , , , , ,2, , , , , , , , , ,1,2,3,8, , , , , ,4,1,3,4,4, , , ,1,4,4,8,5,2, , , ,2,2,2,70,1,3,2, , , ,6,3,3, ,2,1, ,2,2, ,1,9, , ,85308,S,4,4,3,1.91428571428571,.686795824943485
100134,1,31715,1,2,2,2,4,1,1,2,2,1,2,1,1,2,1,2, , , ,2,2,2, , , , , ,2,8,8,2,8,2, , , , , , , ,24,1,2,2,1,3,1, , , ,8, ,1,1,2, , , ,2,2,2,2,2, , , , , , , , ,2, , , , , , , , , ,1,8,1,1, , , , , ,2,1,2,1,2, , , ,1,1,1,2,5,2, , , ,2,2,2,55,1,3,8, , , ,4,1,3, ,2,4,2,3,2, ,3,6, , ,95843,S,4,6,4,4,1.43509575361325
100145,1,31715,1,1,2,2,3,1,1,1,2,1,1,1,1,2,1,1,2,1,1, , , ,1,1,1,1,1, , , , , , ,1,5,3, ,2, , ,3,1,1,2,1,2,4, , , ,1,1,2,2,2,2,2,1, , , , ,2, , , , , , , , ,2, , , , , , , , , ,1,1,1,1,1,2,1,1,1, , , , , ,2,3,2, , , ,2,5,2,2,2,2, , , ,68,9,9,2, , , ,8,3,3, ,1,2, ,4,2, ,4,98, , ,30901,U,3,13,3,1.37142857142857,.492032829810258
