id,region_residencia,zona,edad,region_nacimiento,residencia_hace_dos_anos,titulo,condicion_actual
4255,1,1,29,1,2,4,1
5591,1,1,39,1,1,4,1
9677,5,2,61,3,5,1,3
6851,2,1,37,5,2,0,2
8060,3,2,42,1,3,2,1
9144,5,1,17,1,5,0,3
6260,1,2,26,1,1,0,3
7592,3,1,33,3,3,3,1
137,1,1,21,1,1,0,1
6980,2,1,24,2,2,4,1
2867,1,1,53,5,1,1,1
5890,1,1,52,1,1,4,1
10157,6,1,24,6,6,2,2
3712,1,1,56,1,1,4,3
3505,1,1,47,1,1,6,1
1798,1,1,33,2,1,4,1
8443,4,1,72,1,4,1,1
6847,2,1,26,1,2,3,1
8118,3,2,41,1,1,6,1
815,1,1,49,1,1,4,1
4865,1,1,73,2,1,4,3
1802,1,1,28,1,1,1,1
2695,1,1,28,9,9,4,1
1548,1,1,20,1,1,1,1
7390,3,1,23,1,3,2,3
2401,1,1,67,1,1,6,3
5037,1,1,43,1,1,1,1
8638,4,2,35,1,4,0,1
4932,1,1,33,6,1,3,3
8371,4,1,36,1,1,3,1
4,1,1,55,2,1,3,1
2633,1,1,57,1,1,0,1
4463,1,1,37,1,1,4,3
2456,1,1,46,3,1,1,1
1146,1,1,41,1,1,0,1
4395,1,1,42,1,1,4,1
7044,2,1,83,1,2,4,1
1835,1,1,58,1,1,3,1
5626,1,1,43,1,1,6,1
6162,1,2,25,1,1,3,1
1404,1,1,32,4,1,4,1
3103,1,1,32,1,1,2,1
5726,1,1,31,4,4,4,1
4462,1,1,27,6,1,3,1
3707,1,1,36,3,1,6,1
495,1,1,52,1,1,0,1
4662,1,1,48,5,1,0,1
5487,1,1,35,1,1,4,1
9620,5,2,15,5,5,0,3
5774,1,1,30,1,1,6,1
7227,2,2,21,4,2,0,3
3004,1,1,49,1,1,4,1
5509,1,1,19,1,1,0,3
2257,1,1,72,1,1,3,3
5819,1,1,24,1,1,3,1
8144,4,1,61,2,4,1,1
2317,1,1,64,1,1,0,3
9035,5,1,30,1,5,0,1
6290,1,2,68,1,1,4,3
2254,1,1,54,1,1,4,1
3413,1,1,38,1,1,4,1
905,1,1,36,1,1,6,1
979,1,1,38,9,1,0,1
793,1,1,63,1,1,4,1
2641,1,1,46,1,1,6,1
21,1,1,29,4,1,0,1
8500,4,1,42,4,4,1,1
2462,1,1,70,1,1,3,3
9294,5,1,21,6,5,3,3
1836,1,1,43,1,1,2,1
5021,1,1,53,4,1,6,3
5831,1,1,49,1,1,1,1
8437,4,1,51,2,4,4,1
6883,2,1,55,9,2,0,1
