,region_residencia,zona,edad,region_nacimiento,residencia_hace_dos_anos,titulo,condicion_actual,ingreso_total_hogar_neto,nivel_pobreza
9465,1,1,46,1,1,4,1,4258345,3
3353,1,1,50,1,1,3,3,2575993.33333333,3
9328,1,1,68,1,1,6,3,1906666.66666667,3
2429,1,2,74,4,1,4,3,1739400,3
968,1,1,33,1,1,4,1,2532833.33333333,3
4175,2,1,61,2,2,3,3,831440.466666667,2
7033,5,1,30,5,5,0,1,2279585.65,3
2010,1,1,70,3,1,1,3,172541.515151515,2
3348,1,2,36,1,1,4,1,2301931.66666667,3
5583,3,2,25,4,3,0,1,1071708.3,3
4817,3,1,64,1,3,0,3,1513416.66666667,3
1808,1,1,40,1,1,1,1,890452.437313333,3
1462,1,1,24,3,1,0,2,1717385.34438392,3
10291,1,2,35,1,1,3,1,5265000,3
2743,1,1,21,6,1,3,3,3791255.75802187,3
923,1,1,53,1,1,4,1,2569276.95863864,3
9387,1,1,26,1,1,0,2,2742659.83333333,3
9334,1,1,32,5,1,4,1,3850414.75,3
7036,5,1,46,5,5,5,1,955582.766666667,3
3851,2,1,24,2,2,3,3,1432650.16892388,3
10804,4,1,29,1,4,3,1,1194709.53333333,3
4818,3,1,63,1,3,3,3,1513416.66666667,3
4959,3,1,29,3,3,2,1,1130236.9790331,3
423,1,1,60,1,1,0,2,2047643.33333333,3
1376,1,1,22,1,1,2,2,1083967.14285714,3
3490,1,1,28,1,1,3,1,2903646.06666667,3
5081,3,2,26,1,3,3,1,1402058.66666667,3
3596,1,2,21,1,1,0,3,1596261.62222222,3
3513,1,2,25,1,1,3,1,771899.944444445,3
8929,1,1,56,1,1,3,3,975166.5898,3
1039,1,1,27,5,1,4,2,1338133.33333333,3
8009,6,1,23,1,6,0,3,1118509.16666667,3
4979,3,2,16,1,3,0,3,505000,2
8102,6,1,30,6,1,6,1,3463481.66666667,3
6367,3,2,15,5,3,0,3,716709.35,3
7070,5,1,51,5,5,4,1,2800438.76666667,3
617,1,1,37,1,1,0,1,3478497.03030303,3
4728,3,1,62,4,3,0,1,1434333.33333333,3
997,1,1,19,5,5,0,3,240000,2
908,1,1,34,4,1,4,1,2089680.66666667,3
4757,3,1,44,1,3,4,1,1473550,3
4221,1,1,62,1,1,4,3,5956298.58515152,3
4583,3,1,22,1,3,1,1,3757560.92411802,3
9826,1,1,30,3,1,2,1,1589237,3
2045,1,1,54,1,1,1,1,3228490.33333333,3
474,1,1,30,1,1,0,1,1924968.6,3
8897,1,1,39,1,1,4,1,1256883.33333333,3
2293,1,1,51,3,1,6,1,1170000,3
6089,3,1,28,6,3,4,1,1180219.66666667,3
8441,6,2,40,3,6,0,1,2235930.66666667,3
5080,3,2,32,2,3,4,1,1415058.66666667,3
2578,1,2,20,1,1,0,3,2452502,3
2871,1,2,26,2,1,0,2,1345716.66666667,3
939,1,1,57,1,1,6,1,2767669.22054834,3
2221,1,2,43,1,1,1,1,1231737,3
8907,1,1,35,1,1,3,1,3453070.83333333,3
9869,1,1,51,3,1,4,1,2186010.66666667,3
5754,4,1,36,3,4,6,1,774566,3
7008,5,1,34,1,5,4,1,1511467.53333333,3
1957,1,1,64,2,1,0,3,1754892,3
2234,1,1,43,1,1,4,2,1774133.33333333,3
10899,4,2,34,1,4,0,1,994864.804564369,3
10050,1,1,37,1,1,3,1,4165106.83333333,3
3760,1,2,24,1,1,3,1,4756079.93276,3
4920,3,1,25,1,3,1,1,632644.8,3
238,1,1,52,1,1,1,3,5967153.83333333,3
3004,1,2,40,1,1,2,1,1180811.66666667,3
3734,1,2,40,1,1,6,1,515649.333333333,3
7832,5,2,19,5,5,0,2,338000,3
6954,5,1,42,1,5,2,1,1004719.66666667,3
9015,1,1,34,1,1,0,1,2573190.68417542,3
4382,2,2,52,1,2,4,3,0,1
161,1,1,19,2,1,0,3,624000,3
3122,1,2,18,1,1,0,3,532188.5146,3
8985,1,1,70,1,1,4,3,916828.961185912,3
298,1,1,44,1,1,4,1,1040000,3
6917,5,1,47,5,5,1,1,1644984.26,3
9186,1,1,38,1,1,1,1,390000,3
572,1,1,36,1,1,4,1,3985752.02378698,3
3157,1,2,49,1,1,0,3,654642.371038119,3
1705,1,1,19,1,1,0,3,1755000,3
573,1,1,41,1,1,4,3,3985752.02378698,3
3520,1,2,34,1,1,6,1,2690758.34956289,3
8723,6,2,35,2,6,0,1,1271400.51412429,3
11274,6,1,33,6,6,0,1,749900,3
3614,1,2,46,1,1,0,1,1259020.53333333,3
5633,3,2,33,1,3,4,1,1916620.33333333,3
3005,1,2,40,5,1,4,1,1180811.66666667,3
10008,1,1,40,1,1,3,1,461500,3
3889,2,1,26,2,2,4,3,1998711,3
9535,1,1,24,1,1,3,1,2909989.33333333,3
10786,3,2,26,3,3,0,3,943696.802777778,3
8028,6,1,53,1,6,3,1,2420143.36666667,3
5369,3,2,15,1,3,0,3,455056.266666667,3
8234,6,1,24,1,6,4,1,1745486.7306458,3
10449,2,1,52,2,2,4,1,3570671.8,3
4570,3,1,31,1,3,0,1,1876666.52547702,3
7068,5,1,38,1,5,4,1,1593440.33333333,3
4101,1,1,61,1,1,4,1,2038316.83559055,3
1290,1,1,40,1,1,4,1,1425428.35,3
5696,4,1,37,1,4,3,1,1643857.18095238,3
1053,1,1,65,1,1,6,1,325000,3
197,1,1,35,1,1,3,1,4399139.33333333,3
5691,4,1,21,4,4,0,3,292600,2
8724,6,2,26,1,6,4,1,1271400.51412429,3
5462,3,2,33,3,3,3,2,151250,1
1823,1,1,52,5,1,4,1,2034087.69607843,3
6993,5,1,26,4,5,0,1,1517000,3
10094,1,1,23,1,1,4,1,1219807.33333333,3
5827,4,1,49,1,4,6,1,5899486.66666667,3
9523,1,1,30,2,1,3,1,888835.523333333,3
49,1,1,75,1,1,0,3,3742283.78333333,3
8970,1,1,27,1,1,3,1,959845.64,3
8305,6,1,45,6,6,3,1,1686978.13333333,3
9120,1,1,36,1,1,3,1,1033016.31333333,3
4047,2,1,30,2,2,4,1,947635,3
6265,4,2,23,1,4,0,3,162833.333333333,1
3870,2,1,51,1,2,4,1,1698785.01927255,3
6612,4,1,23,4,4,4,2,120000,3
176,1,1,20,1,1,0,3,1313415.67671958,3
4183,2,1,57,2,2,4,1,1423500,3
2737,1,1,33,1,1,6,1,4412000,3
3711,1,2,29,1,1,3,3,3261721.66666667,3
10745,3,1,62,3,3,0,1,1316089.59779133,3
350,1,1,63,1,1,1,1,3046733.13862085,3
11282,6,1,17,4,4,0,3,1779028,3
2013,1,1,54,1,1,0,3,2100561.66666667,3
9832,1,1,23,1,1,0,3,1421157.65948574,3
1117,1,1,37,1,1,0,1,730849.333333333,3
2225,1,1,23,1,1,0,3,1963938.16666667,3
5457,3,2,32,1,1,4,1,1558716.47202844,3
808,1,1,24,1,1,0,1,361280.833333333,3
10159,1,1,47,1,1,3,1,975000,3
4914,3,1,32,3,3,0,1,1891439.33333333,3
6037,4,2,26,4,4,4,1,1570694.66666667,3
10472,2,1,31,2,2,1,2,1484028,3
8076,6,1,52,2,6,1,1,1547725.264458,3
9240,1,1,29,1,1,3,1,1756406.77636667,3
969,1,1,26,1,1,0,1,1128000.70819545,3
3411,1,2,30,1,1,2,1,1026474,3
9546,1,1,30,1,1,6,1,2779059.0204,3
3771,1,2,29,1,1,4,1,4172345.42886179,3
2285,1,1,21,1,1,0,3,3155180.9724889,3
1412,1,1,49,1,1,0,1,762762,3
10251,1,1,58,1,1,4,1,2844775.61333333,3
9653,1,1,52,1,1,3,1,2296583.75555556,3
256,1,1,53,1,1,0,1,363461.516363636,3
6477,4,2,41,4,4,1,1,692566.569139785,3
738,1,1,34,1,1,4,1,1450574,3
10276,1,2,18,1,1,0,3,524031.913333333,3
5892,4,1,44,4,4,6,1,1629323.8,3
10645,3,1,68,2,3,3,1,1191666.66666667,3
9197,1,1,55,1,1,2,1,1659537.96666667,3
4737,3,1,50,2,3,0,1,2024174.84848485,3
3013,1,1,34,1,1,0,1,830447.046084157,3
5269,3,2,38,1,3,4,1,2020633.33333333,3
3958,2,1,33,1,2,4,1,1385004.83333333,3
5898,4,1,49,4,4,4,1,1300000,3
2430,1,2,70,4,1,4,3,1739400,3
9014,1,1,58,3,1,4,1,2573190.68417542,3
3270,1,1,50,1,1,0,1,4144604.8888752,3
4915,3,1,29,2,3,0,1,1891439.33333333,3
